county,cases_slope_week_1_3,cases_slope_week_4_6,deaths_slope_week_1_3,deaths_slope_week_4_6,population,population_density,metropolitan_status,nchs_urban_rural_status,major_teaching_start,hybrid_start,on_premises_start,online_only_start,other_start,unknown_start,major_teaching_end,mean_mobility
MONTGOMERY,-0.0015301523238555653,0.026370945886426647,0.04854677896262399,0.02354424424772324,533054,1152.04,Metro,Medium metro,Online_Only,0.2909372997402948,0.09175688893385948,0.3680899861715404,0.06767513238220513,0.03794394414651422,Hybrid,0.04556629737029483
MORGAN,0.0749394057731341,-0.026128423910589307,1.0571804776369048e-16,1.0571804776369048e-16,15051,34.84,Non-metro,Noncore,Hybrid,1,0,0,0,0,Hybrid,0.05220627568848357
MORROW,0.03550048167119222,0.0931876458809644,0.07151975032243911,0.0034213523606019007,35214,86.99,Metro,Large fringe metro,Hybrid,0.5573862572551956,0.24340011233851339,0,0.19921363040629095,0,Hybrid,0.04739621588499172
MUSKINGUM,0.05203627341237284,-0.05830771947881454,0.2540730708164243,-0.04255892593196287,86392,129.74,Non-metro,Micropolitan,Hybrid,1,0,0,0,0,Hybrid,0.049508281995331284
NOBLE,-0.554844391312725,-0.12980847414683594,1.0571804776369048e-16,1.0571804776369048e-16,14654,36.24,Non-metro,Noncore,Hybrid,1,0,0,0,0,Hybrid,0.05957678174128096
OTTAWA,0.08359341741277143,-0.07735244548971974,0.06839867057726332,0.13355704479966318,41634,159.1,Non-metro,Micropolitan,Hybrid,0.6485792019347038,0.35142079806529625,0,0,0,Hybrid,0.05326998926443504
PAULDING,0.025669136788118073,-0.08458654913765261,1.0571804776369048e-16,0.6593441532127879,18969,44.84,Non-metro,Noncore,On_Premises,0,1,0,0,0,On_Premises,0.05069761669021057
PERRY,0.016296516361119187,0.030304960264541013,0.053773091481784975,-0.038684865768746426,36317,88.58,Metro,Large fringe metro,Hybrid,0.803765579421904,0,0,0.196234420578096,0,Hybrid,0.04951086031123456
PICKAWAY,0.0026159776425181734,0.05067830361005666,0.10204899508818105,-0.03125672461423218,57777,116.63,Metro,Large fringe metro,Hybrid,0.843871975019516,0,0,0.156128024980484,0,Hybrid,0.046501739028652775
PIKE,-0.04856382022143564,0.007245828013285005,1.0571804776369048e-16,1.0571804776369048e-16,28427,63.08,Non-metro,Noncore,Hybrid,1,0,0,0,0,On_Premises,0.049625690633510085
PORTAGE,-0.014106770598488094,-0.0017950691437104746,0.013705525549028952,-0.017036939827298776,165891,333.33,Metro,Medium metro,Hybrid,0.7566982538842657,0.19038914810717206,0,0.05291259800856222,0,Hybrid,0.048993156720513
PREBLE,0.02424065695699402,0.06873799413339055,-0.005084140703995413,-0.0033737578395629316,41983,96.37,Non-metro,Noncore,Hybrid,0.5965204236006052,0.40347957639939486,0,0,0,Hybrid,0.049777862741327575
