"","metropolitan_status","date","R.deaths","R.deaths.q2.5","R.deaths.q97.5","R.cases","R.cases.q2.5","R.cases.q97.5"
"1","Non-metro","2020-02-05",NA,NA,NA,NA,NA,NA
"2","Non-metro","2020-02-06",NA,NA,NA,5,0.126589039921449,18.4443972705697
"3","Non-metro","2020-02-07",NA,NA,NA,5,0.126589039921449,18.4443972705697
"4","Non-metro","2020-02-08",NA,NA,NA,5,0.126589039921449,18.4443972705697
"5","Non-metro","2020-02-09",NA,NA,NA,5,0.126589039921449,18.4443972705697
"6","Non-metro","2020-02-10",NA,NA,NA,5,0.126589039921449,18.4443972705697
"7","Non-metro","2020-02-11",NA,NA,NA,5,0.126589039921449,18.4443972705697
"8","Non-metro","2020-02-12",NA,NA,NA,5,0.126589039921449,18.4443972705697
"9","Non-metro","2020-02-13",NA,NA,NA,5,0.126589039921449,18.4443972705697
"10","Non-metro","2020-02-14",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"11","Non-metro","2020-02-15",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"12","Non-metro","2020-02-16",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"13","Non-metro","2020-02-17",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"14","Non-metro","2020-02-18",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"15","Non-metro","2020-02-19",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"16","Non-metro","2020-02-20",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"17","Non-metro","2020-02-21",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"18","Non-metro","2020-02-22",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"19","Non-metro","2020-02-23",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"20","Non-metro","2020-02-24",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"21","Non-metro","2020-02-25",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"22","Non-metro","2020-02-26",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"23","Non-metro","2020-02-27",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"24","Non-metro","2020-02-28",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"25","Non-metro","2020-02-29",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"26","Non-metro","2020-03-01",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"27","Non-metro","2020-03-02",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"28","Non-metro","2020-03-03",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"29","Non-metro","2020-03-04",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"30","Non-metro","2020-03-05",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"31","Non-metro","2020-03-06",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"32","Non-metro","2020-03-07",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"33","Non-metro","2020-03-08",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"34","Non-metro","2020-03-09",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"35","Non-metro","2020-03-10",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"36","Non-metro","2020-03-11",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"37","Non-metro","2020-03-12",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"38","Non-metro","2020-03-13",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"39","Non-metro","2020-03-14",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"40","Non-metro","2020-03-15",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"41","Non-metro","2020-03-16",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"42","Non-metro","2020-03-17",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"43","Non-metro","2020-03-18",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"44","Non-metro","2020-03-19",5,0.126589039921449,18.4443972705697,5,0.126589039921449,18.4443972705697
"45","Non-metro","2020-03-20",10,1.21104639271982,27.8582169546945,5,0.126589039921449,18.4443972705697
"46","Non-metro","2020-03-21",9.99995237716762,1.21104062537389,27.8580842859749,5,0.126589039921449,18.4443972705697
"47","Non-metro","2020-03-22",9.99855732866539,1.21087167852826,27.8541979295911,5,0.126589039921449,18.4443972705697
"48","Non-metro","2020-03-23",9.98954067741045,1.20977972023059,27.8290791469046,5,0.126589039921449,18.4443972705697
"49","Non-metro","2020-03-24",14.9373498234759,3.08044064190803,35.9725623527151,10,1.21104639271982,27.8582169546945
"50","Non-metro","2020-03-25",14.8218777799063,3.0566275304646,35.6944792030004,44.0082627902589,20.1233800832653,77.0789526238715
"51","Non-metro","2020-03-26",19.4583977588044,5.30175848589224,42.649271662775,56.240776341671,30.7473557717262,89.3039089157121
"52","Non-metro","2020-03-27",18.9420287646976,5.16106531421944,41.5174846687544,54.7407608863066,33.8853937657748,80.5168242350565
"53","Non-metro","2020-03-28",18.1617281978898,4.94845967202323,39.8072076323348,46.6510308382553,31.697112095774,64.448948975451
