"","posture_change","date","R.deaths","R.deaths.q2.5","R.deaths.q97.5","R.cases","R.cases.q2.5","R.cases.q97.5"
"2043","On_Premises_to_Online_Only","2020-07-11",4.99969165359771,0.126581233266444,18.4432598178615,2.46484184620783,1.65074326861483,3.43954196085403
"2044","On_Premises_to_Online_Only","2020-07-12",4.99974883598233,0.126582680999077,18.4434707567853,2.35157727331733,1.58659931136175,3.26468198602227
"2045","On_Premises_to_Online_Only","2020-07-13",4.99979553585035,0.126583863337369,18.4436430269689,2.3923580740549,1.64678921873274,3.27495349009721
"2046","On_Premises_to_Online_Only","2020-07-14",4.99983364968646,0.126584828296153,18.4437836243159,2.42147328898945,1.69597012210407,3.27413641180552
"2047","On_Premises_to_Online_Only","2020-07-15",4.99986473604533,0.126585615334618,18.4438982981464,2.44030595109459,1.73529608611698,3.26362569104297
"2048","On_Premises_to_Online_Only","2020-07-16",4.99989007469953,0.1265862568538,18.4439917693873,2.1576772311329,1.51920389324996,2.90640140578066
"2049","On_Premises_to_Online_Only","2020-07-17",4.99991071565496,0.126586779437546,18.4440679113837,1.79782594701703,1.23754065865547,2.46108491183817
"2050","On_Premises_to_Online_Only","2020-07-18",9.99985503944779,1.21102883732444,27.8578131204432,1.94234439397421,1.37451849564636,2.60681152451473
"2051","On_Premises_to_Online_Only","2020-07-19",9.99983476243483,1.2110263816841,27.8577566323005,2.07122944772024,1.49895902133618,2.73459119604785
"2052","On_Premises_to_Online_Only","2020-07-20",9.99846197605748,1.21086013088507,27.8539322942273,2.27620983849295,1.68944681550332,2.94908471721326
"2053","On_Premises_to_Online_Only","2020-07-21",9.98946353000453,1.20977037732182,27.8288642279874,2.49745554476998,1.8964227022701,3.17995465871052
"2054","On_Premises_to_Online_Only","2020-07-22",9.95817110703278,1.20598071972588,27.7416891171689,2.72469117291759,2.11159823416602,3.41473679861242
"2055","On_Premises_to_Online_Only","2020-07-23",9.88124883447358,1.19666507565562,27.5273973814087,3.06158077007498,2.42764314296262,3.76794758182575
"2056","On_Premises_to_Online_Only","2020-07-24",9.73052599809153,1.17841184092552,27.1075104338129,3.33019675106956,2.68789857843539,4.04027465898821
"2057","On_Premises_to_Online_Only","2020-07-25",9.48042851083304,1.14812387494825,26.4107834278258,3.39246849649047,2.76615263208843,4.08174345088648
"2058","On_Premises_to_Online_Only","2020-07-26",9.11675933617965,1.10408185073751,25.3976659511029,3.43410144642488,2.82762850773319,4.0986194664252
"2059","On_Premises_to_Online_Only","2020-07-27",8.64303298393726,1.04671139173557,24.0779488013105,3.22975909636533,2.66649737424007,3.84618877142199
"2060","On_Premises_to_Online_Only","2020-07-28",8.0809420164679,0.978639567882151,22.5120635893069,3.04862794651911,2.52553547829921,3.62022070116297
"2061","On_Premises_to_Online_Only","2020-07-29",14.9290246326882,4.06765675229533,32.7217089049217,2.89370708604195,2.40683584009079,3.42475880593088
"2062","On_Premises_to_Online_Only","2020-07-30",13.6619899244503,3.72243243837252,29.944599085931,2.70176545235962,2.25234012609926,3.19146687734622
"2063","On_Premises_to_Online_Only","2020-07-31",15.5299018990812,5.0425168746065,31.810173483952,2.5662668543639,2.14717425515209,3.02216732703664
"2064","On_Premises_to_Online_Only","2020-08-01",11.2547919161363,3.0665519991916,24.6684585179738,2.40705254306844,2.0181566823931,2.82970587710983
"2065","On_Premises_to_Online_Only","2020-08-02",10.1709288201416,2.77123578467258,22.2928275847733,2.15119581779508,1.79861022299273,2.53487133774002
"2066","On_Premises_to_Online_Only","2020-08-03",13.7587278738705,5.04921064013664,26.7569009702257,1.90018574589383,1.58169787914808,2.24745326595292
