,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,ending_teachingmethod,starting_teachingmethod,ending_staffmaskpolicy,ending_studentmaskpolicy,ending_lastverifieddate,OpenDateGrouped,starting_staffmaskpolicy,starting_studentmaskpolicy,starting_lastverifieddate,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
0,Ada Elementary School,3904518,KG,6,0.0,1,0,HARDIN,452.0,Ada Exempted Village Schools,ADA,879.0,8/24/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-12,8/26/20,Required for all staff,Required for all students,10/15/20,879.0,881.0,881.0,4205.0
1,Ada High School,3904518,7,12,0.0,3,0,HARDIN,429.0,Ada Exempted Village Schools,ADA,879.0,8/24/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-12,8/26/20,Required for all staff,Required for all students,10/15/20,879.0,881.0,881.0,4205.0
2,North Adams High School,3906190,7,12,0.0,3,0,ADAMS,541.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
3,Peebles Elementary School,3906190,PK,6,0.0,1,0,ADAMS,599.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
4,Peebles High School,3906190,7,12,0.0,3,0,ADAMS,431.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
5,North Adams Elementary School,3906190,PK,6,0.0,1,0,ADAMS,696.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
6,West Union Elementary School,3906190,PK,6,0.0,1,0,ADAMS,775.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
7,West Union High School,3906190,7,12,0.0,3,0,ADAMS,570.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
8,Adena Middle School,3904949,6,8,0.0,2,0,ROSS,385.0,Adena Local School District,Frankfort,1272.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-13,9/9/20,Required for all staff,Required for all students,10/13/20,1272.0,1188.0,1272.0,11404.0
9,Adena High School,3904949,9,12,0.0,3,0,ROSS,314.0,Adena Local School District,Frankfort,1272.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-13,9/9/20,Required for all staff,Required for all students,10/13/20,1272.0,1188.0,1272.0,11404.0
10,Adena Elementary School,3904949,KG,5,0.0,1,0,ROSS,489.0,Adena Local School District,Frankfort,1272.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-13,9/9/20,Required for all staff,Required for all students,10/13/20,1272.0,1188.0,1272.0,11404.0
11,Judith A Resnik Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,383.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
12,Findley Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,614.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
13,Firestone High School,3904348,8,12,0.0,3,0,SUMMIT,1282.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
14,Firestone Park Elementary School,3904348,KG,5,0.0,1,0,SUMMIT,318.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
15,Forest Hill Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,380.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
16,Barber Community Learning Center,3904348,KG,6,0.0,1,0,SUMMIT,304.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
17,Garfield High School,3904348,8,12,0.0,3,0,SUMMIT,1014.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
18,Glover Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,299.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
19,Bettes Elementary School,3904348,KG,5,0.0,1,0,SUMMIT,,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
20,Harris Elementary School,3904348,KG,5,0.0,1,0,SUMMIT,524.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
21,Hatton CLC,3904348,KG,5,0.0,1,0,SUMMIT,517.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
22,Sam Salem Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,350.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
23,Hill Community Learning Center,3904348,KG,6,0.0,1,0,SUMMIT,316.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
24,Hyre Community Learning Center,3904348,5,8,0.0,2,0,SUMMIT,807.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
25,Innes Community Learning Center,3904348,6,8,0.0,2,0,SUMMIT,714.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
26,Jennings Community Learning Center,3904348,6,8,0.0,2,0,SUMMIT,687.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
27,Kenmore High School,3904348,9,12,0.0,3,0,SUMMIT,,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
28,Kent Middle School,3904348,5,8,0.0,2,0,SUMMIT,,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
29,King Elementary School,3904348,KG,5,0.0,1,0,SUMMIT,444.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
30,Betty Jane Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,453.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
31,Leggett Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,370.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
32,Litchfield Middle School,3904348,6,8,0.0,2,0,SUMMIT,672.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
33,Mason Community Learning Center,3904348,KG,6,0.0,1,0,SUMMIT,249.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
34,McEbright Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,267.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
35,North High School,3904348,8,12,0.0,3,0,SUMMIT,914.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
36,Pfeiffer Elementary School,3904348,KG,5,0.0,1,0,SUMMIT,235.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
37,Portage Path Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,303.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
38,Buchtel High School,3904348,6,12,0.0,4,0,SUMMIT,850.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
39,Rimer Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,306.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
40,Ritzman Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,360.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
41,Robinson Community Learning Center,3904348,KG,6,0.0,1,0,SUMMIT,286.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
42,Schumacher Community Learning Cent,3904348,KG,6,0.0,1,0,SUMMIT,446.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
43,Seiberling CLC,3904348,KG,6,0.0,1,0,SUMMIT,515.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
44,Case Elementary School,3904348,KG,5,0.0,1,0,SUMMIT,304.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
45,Voris Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,346.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
46,Windemere CLC,3904348,KG,5,0.0,1,0,SUMMIT,293.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
47,Crouse Community Learning Center,3904348,KG,6,0.0,1,0,SUMMIT,381.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
48,East Community Learning Center,3904348,6,12,0.0,4,0,SUMMIT,1113.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
49,Ellet High School,3904348,9,12,0.0,3,0,SUMMIT,1030.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
50,Miller-South Visual Performing Arts,3904348,4,8,0.0,2,0,SUMMIT,482.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
51,Akron Alternative Academy,3904348,9,12,0.0,3,0,SUMMIT,239.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
52,Helen Arnold Community Learning Center,3904348,KG,6,0.0,1,0,SUMMIT,296.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
53,Akron Early College High School,3904348,9,12,0.0,3,0,SUMMIT,384.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
54,National Inventors Hall of Fame School Center for STEM,3904348,5,8,0.0,2,0,SUMMIT,388.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
55,Akron STEM High School,3904348,9,12,0.0,3,0,SUMMIT,329.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
56,Lawndale Elementary School,3904348,KG,5,0.0,1,0,,,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,,,,
57,Smith Elementary School,3904348,KG,5,0.0,1,0,,,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,,,,
58,Akron Opportunity Center,3904348,,,1.0,,0,,,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,,,,
59,Alexander Elementary School,3904590,PK,5,0.0,1,0,ATHENS,707.0,Alexander Local School District,Albany,1537.0,10/13/20,Hybrid,Online Only,Required for all staff,Required for all students,2021-01-08,10/20/20,Required for all staff,Required for all students,9/30/20,1537.0,1506.0,1537.0,7412.0
60,Alexander Jr. / Sr. High School,3904590,6,12,0.0,4,0,ATHENS,799.0,Alexander Local School District,Albany,1537.0,10/13/20,Hybrid,Online Only,Required for all staff,Required for all students,2021-01-08,10/20/20,Required for all staff,Required for all students,9/30/20,1537.0,1506.0,1537.0,7412.0
61,Allen East High School,3904575,7,12,0.0,3,0,ALLEN,318.0,Allen East Local School District,Harrod,1200.0,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-13,9/2/20,Required for all staff,Required for all students,9/9/20,1200.0,809.0,1200.0,16319.0
62,Allen East Elementary School,3904575,KG,6,0.0,1,0,ALLEN,491.0,Allen East Local School District,Harrod,1200.0,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-13,9/2/20,Required for all staff,Required for all students,9/9/20,1200.0,809.0,1200.0,16319.0
63,Alliance High School,3904349,9,12,0.0,3,0,STARK,981.0,Alliance City School District,Alliance,3106.0,8/24/20,On Premises,Other,Required for all staff,Required for all students,2021-01-14,8/26/20,Required for all staff,Required for all students,10/9/20,3106.0,3088.0,3106.0,59856.0
64,Parkway Elementary School,3904349,1,3,0.0,1,0,STARK,286.0,Alliance City School District,Alliance,3106.0,8/24/20,On Premises,Other,Required for all staff,Required for all students,2021-01-14,8/26/20,Required for all staff,Required for all students,10/9/20,3106.0,3088.0,3106.0,59856.0
65,Alliance Early Learning School at South Lincoln,3904349,PK,1,0.0,1,0,STARK,429.0,Alliance City School District,Alliance,3106.0,8/24/20,On Premises,Other,Required for all staff,Required for all students,2021-01-14,8/26/20,Required for all staff,Required for all students,10/9/20,3106.0,3088.0,3106.0,59856.0
66,Alliance Middle School,3904349,6,8,0.0,2,0,STARK,650.0,Alliance City School District,Alliance,3106.0,8/24/20,On Premises,Other,Required for all staff,Required for all students,2021-01-14,8/26/20,Required for all staff,Required for all students,10/9/20,3106.0,3088.0,3106.0,59856.0
67,Northside Intermediate School,3904349,3,5,0.0,1,0,STARK,431.0,Alliance City School District,Alliance,3106.0,8/24/20,On Premises,Other,Required for all staff,Required for all students,2021-01-14,8/26/20,Required for all staff,Required for all students,10/9/20,3106.0,3088.0,3106.0,59856.0
68,Rockhill Elementary School,3904349,1,5,0.0,1,0,STARK,311.0,Alliance City School District,Alliance,3106.0,8/24/20,On Premises,Other,Required for all staff,Required for all students,2021-01-14,8/26/20,Required for all staff,Required for all students,10/9/20,3106.0,3088.0,3106.0,59856.0
69,Amanda-Clearcreek Middle School,3904684,6,8,0.0,2,0,FAIRFIELD,360.0,Amanda-Clearcreek Local School District,Amanda,1596.0,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-05,8/26/20,Required for all staff,Required for all students,10/5/20,1596.0,1464.0,1596.0,15684.0
70,Amanda-Clearcreek Elementary School,3904684,3,5,0.0,1,0,FAIRFIELD,358.0,Amanda-Clearcreek Local School District,Amanda,1596.0,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-05,8/26/20,Required for all staff,Required for all students,10/5/20,1596.0,1464.0,1596.0,15684.0
71,Amanda-Clearcreek High School,3904684,9,12,0.0,3,0,FAIRFIELD,450.0,Amanda-Clearcreek Local School District,Amanda,1596.0,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-05,8/26/20,Required for all staff,Required for all students,10/5/20,1596.0,1464.0,1596.0,15684.0
72,Amanda-Clearcreek Primary School,3904684,PK,2,0.0,1,0,FAIRFIELD,296.0,Amanda-Clearcreek Local School District,Amanda,1596.0,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-05,8/26/20,Required for all staff,Required for all students,10/5/20,1596.0,1464.0,1596.0,15684.0
73,Josiah Harris Elementary School,3904519,3,4,0.0,1,0,LORAIN,,Amherst Exempted Village School District,Amherst,3540.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-29,9/2/20,Required for all staff,Required for all students,10/29/20,3540.0,3625.0,3625.0,43143.0
74,Marion L Steele High School,3904519,9,12,0.0,3,0,LORAIN,1239.0,Amherst Exempted Village School District,Amherst,3540.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-29,9/2/20,Required for all staff,Required for all students,10/29/20,3540.0,3625.0,3625.0,43143.0
75,Powers Elementary School,3904519,PK,2,0.0,1,0,LORAIN,749.0,Amherst Exempted Village School District,Amherst,3540.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-29,9/2/20,Required for all staff,Required for all students,10/29/20,3540.0,3625.0,3625.0,43143.0
76,Walter G. Nord Middle School,3904519,5,6,0.0,2,0,LORAIN,788.0,Amherst Exempted Village School District,Amherst,3540.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-29,9/2/20,Required for all staff,Required for all students,10/29/20,3540.0,3625.0,3625.0,43143.0
77,Amherst Junior High School,3904519,5,8,0.0,2,0,LORAIN,849.0,Amherst Exempted Village School District,Amherst,3540.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-29,9/2/20,Required for all staff,Required for all students,10/29/20,3540.0,3625.0,3625.0,43143.0
78,Anna Elementary School,3910004,KG,5,0.0,1,0,SHELBY,506.0,Anna Local School District,Anna,1202.0,8/25/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-11-13,8/26/20,Pending,Pending,10/12/20,1202.0,1166.0,1202.0,8421.0
79,Anna High School,3910004,9,12,0.0,3,0,SHELBY,386.0,Anna Local School District,Anna,1202.0,8/25/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-11-13,8/26/20,Pending,Pending,10/12/20,1202.0,1166.0,1202.0,8421.0
80,Anna Middle School,3910004,6,8,0.0,2,0,SHELBY,274.0,Anna Local School District,Anna,1202.0,8/25/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-11-13,8/26/20,Pending,Pending,10/12/20,1202.0,1166.0,1202.0,8421.0
81,Ansonia Elementary School,3904662,PK,6,0.0,1,0,DARKE,470.0,Ansonia Local School District,Ansonia,705.0,9/8/20,Hybrid,Online Only,Not required,Required for all students,2020-10-01,9/9/20,Not required,Required for all students,9/24/20,705.0,773.0,773.0,8651.0
82,Ansonia High School,3904662,9,12,0.0,3,0,DARKE,193.0,Ansonia Local School District,Ansonia,705.0,9/8/20,Hybrid,Online Only,Not required,Required for all students,2020-10-01,9/9/20,Not required,Required for all students,9/24/20,705.0,773.0,773.0,8651.0
83,Ansonia Middle School,3904662,7,8,0.0,2,0,DARKE,110.0,Ansonia Local School District,Ansonia,705.0,9/8/20,Hybrid,Online Only,Not required,Required for all students,2020-10-01,9/9/20,Not required,Required for all students,9/24/20,705.0,773.0,773.0,8651.0
84,Anthony Wayne Junior High School,3904820,7,8,0.0,2,0,LUCAS,702.0,Anthony Wayne Local School District,Whitehouse,4442.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-09-15,9/2/20,Required for all staff,Required for all students,9/15/20,4442.0,4220.0,4442.0,51573.0
85,Anthony Wayne High School,3904820,9,12,0.0,3,0,LUCAS,1365.0,Anthony Wayne Local School District,Whitehouse,4442.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-09-15,9/2/20,Required for all staff,Required for all students,9/15/20,4442.0,4220.0,4442.0,51573.0
86,Fallen Timbers Middle School,3904820,5,6,0.0,2,0,LUCAS,692.0,Anthony Wayne Local School District,Whitehouse,4442.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-09-15,9/2/20,Required for all staff,Required for all students,9/15/20,4442.0,4220.0,4442.0,51573.0
87,Monclova Elementary School,3904820,KG,4,0.0,1,0,LUCAS,553.0,Anthony Wayne Local School District,Whitehouse,4442.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-09-15,9/2/20,Required for all staff,Required for all students,9/15/20,4442.0,4220.0,4442.0,51573.0
88,Waterville Primary School,3904820,KG,4,0.0,1,0,LUCAS,462.0,Anthony Wayne Local School District,Whitehouse,4442.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-09-15,9/2/20,Required for all staff,Required for all students,9/15/20,4442.0,4220.0,4442.0,51573.0
89,Whitehouse Primary School,3904820,KG,4,0.0,1,0,LUCAS,446.0,Anthony Wayne Local School District,Whitehouse,4442.0,8/27/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-09-15,9/2/20,Required for all staff,Required for all students,9/15/20,4442.0,4220.0,4442.0,51573.0
90,Antwerp Local Elementary School,3904899,PK,5,0.0,1,0,PAULDING,363.0,Antwerp Local School District,Antwerp,734.0,8/20/20,On Premises,On Premises,Required for all staff,Required for all students,2020-10-16,8/26/20,Required for all staff,Required for all students,10/16/20,734.0,720.0,734.0,3230.0
91,Antwerp Local High School,3904899,9,12,0.0,3,0,PAULDING,183.0,Antwerp Local School District,Antwerp,734.0,8/20/20,On Premises,On Premises,Required for all staff,Required for all students,2020-10-16,8/26/20,Required for all staff,Required for all students,10/16/20,734.0,720.0,734.0,3230.0
92,Antwerp Local Middle School,3904899,6,8,0.0,2,0,PAULDING,174.0,Antwerp Local School District,Antwerp,734.0,8/20/20,On Premises,On Premises,Required for all staff,Required for all students,2020-10-16,8/26/20,Required for all staff,Required for all students,10/16/20,734.0,720.0,734.0,3230.0
93,Arcadia Elementary School,3910002,KG,6,0.0,1,0,HANCOCK,295.0,Arcadia Local School District,Arcadia,600.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2021-01-07,9/9/20,Required for all staff,Required for all students,9/30/20,600.0,614.0,614.0,13232.0
94,Arcadia High School,3910002,9,12,0.0,3,0,HANCOCK,222.0,Arcadia Local School District,Arcadia,600.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2021-01-07,9/9/20,Required for all staff,Required for all students,9/30/20,600.0,614.0,614.0,13232.0
95,Arcadia Middle School,3910002,7,8,0.0,2,0,HANCOCK,97.0,Arcadia Local School District,Arcadia,600.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2021-01-07,9/9/20,Required for all staff,Required for all students,9/30/20,600.0,614.0,614.0,13232.0
96,Arcanum Elementary School,3904663,KG,4,0.0,1,0,DARKE,484.0,Arcanum Butler Local School District,Arcanum,1187.0,9/8/20,Online Only,Hybrid,Required for all staff,Required for all students,2021-01-06,9/9/20,Pending,Pending,8/18/20,1187.0,1195.0,1195.0,8651.0
97,Arcanum High School,3904663,9,12,0.0,3,0,DARKE,374.0,Arcanum Butler Local School District,Arcanum,1187.0,9/8/20,Online Only,Hybrid,Required for all staff,Required for all students,2021-01-06,9/9/20,Pending,Pending,8/18/20,1187.0,1195.0,1195.0,8651.0
98,Butler Middle School,3904663,5,8,0.0,2,0,DARKE,337.0,Arcanum Butler Local School District,Arcanum,1187.0,9/8/20,Online Only,Hybrid,Required for all staff,Required for all students,2021-01-06,9/9/20,Pending,Pending,8/18/20,1187.0,1195.0,1195.0,8651.0
