"","nchs_urban_rural_status","date","R.deaths","R.deaths.q2.5","R.deaths.q97.5","R.cases","R.cases.q2.5","R.cases.q97.5"
"1343","Large fringe metro","2020-09-03",0.938021787962509,0.706646382751664,1.20166195963278,1.18254269013809,1.14340286847453,1.22233199016321
"1344","Large fringe metro","2020-09-04",0.95391902256975,0.718622355458399,1.22202726706596,1.2232138068239,1.18338652354888,1.26369104644405
"1345","Large fringe metro","2020-09-05",0.987495162599866,0.745943233475413,1.2624078199374,1.24671506962847,1.20653954933146,1.28753938471512
"1346","Large fringe metro","2020-09-06",1.03927548218846,0.789165445792318,1.32328638168941,1.26204279688223,1.2217071781469,1.30302436229227
"1347","Large fringe metro","2020-09-07",1.00057656018097,0.753771198059046,1.28179836065573,1.26217934058051,1.22197918101534,1.30302101010482
"1348","Large fringe metro","2020-09-08",0.940934045414071,0.700587200279294,1.21618062325844,1.22323589544684,1.18384381996074,1.2632636738789
"1349","Large fringe metro","2020-09-09",0.990347197632115,0.741838010003213,1.27420465482219,1.19854759368575,1.15976542884498,1.23795867003098
"1350","Large fringe metro","2020-09-10",1.0393082455389,0.78294920405772,1.33141596391864,1.19208766998919,1.15363583297589,1.2311610687939
"1351","Large fringe metro","2020-09-11",1.08749477438128,0.82365792211795,1.38742693987398,1.17947644408587,1.14146251572152,1.21810434469934
"1352","Large fringe metro","2020-09-12",1.13464043389346,0.863740869222872,1.44192509747423,1.17159290114798,1.13394065987208,1.20985151174616
"1353","Large fringe metro","2020-09-13",1.14184082493978,0.869222140500809,1.45107550693538,1.15053432182604,1.11345318340235,1.1882143667805
"1354","Large fringe metro","2020-09-14",1.08896314752928,0.82259105884117,1.39212387577198,1.12422114985297,1.08778891750191,1.16124509550947
"1355","Large fringe metro","2020-09-15",1.05355694545171,0.791464403029205,1.3525584537726,1.07920228599252,1.04371671362671,1.11527277886651
"1356","Large fringe metro","2020-09-16",0.977438893822044,0.725473986884294,1.26638153259584,1.03380716035714,0.999265889275079,1.06892712687954
"1357","Large fringe metro","2020-09-17",1.03685747682086,0.776677400714441,1.33404590482126,0.989836420491225,0.956202738498054,1.0240433252702
"1358","Large fringe metro","2020-09-18",1.07560964257508,0.810296384297705,1.3779202226253,0.93424024062709,0.901701850631721,0.967347298967296
"1359","Large fringe metro","2020-09-19",0.976565555543004,0.724825778380214,1.26525002506603,0.918996705758816,0.886824851733678,0.951733761154291
"1360","Large fringe metro","2020-09-20",0.955061560640758,0.706559800250558,1.2404307619775,0.908996820120827,0.877066964029254,0.941489565243036
"1361","Large fringe metro","2020-09-21",0.952530795093687,0.704687525966773,1.23714381214587,0.907946440264032,0.876068969160714,0.940385599117305
"1362","Large fringe metro","2020-09-22",0.949626213255037,0.70253870033259,1.2333713509645,0.907322182681413,0.875461472013468,0.939744378279163
"1363","Large fringe metro","2020-09-23",0.946533571284739,0.700250746777728,1.22935463791286,0.913123381322454,0.881141696642999,0.945667202683091
"1364","Large fringe metro","2020-09-24",0.924181097592389,0.681418185420623,1.20336150385132,0.89180790727136,0.860167589539478,0.924011706138443
"1365","Large fringe metro","2020-09-25",0.921307580432398,0.679299480705673,1.19961994287372,0.877571801363274,0.84613371416844,0.909575313307874
"1366","Large fringe metro","2020-09-26",0.95702779899804,0.710324478887184,1.23993667378312,0.875765304771561,0.844290988032676,0.907807552536441
"1367","Large fringe metro","2020-09-27",1.03120528537501,0.774673148056528,1.32386334913388,0.866860892913126,0.835466030563926,0.898826707498014
"1368","Large fringe metro","2020-09-28",1.10568619774782,0.839593886420428,1.40784567035164,0.868525285970487,0.837004919870781,0.900620097338413
"1369","Large fringe metro","2020-09-29",1.14261018820774,0.871931946633796,1.44931916262624,0.879018355783924,0.847199629049466,0.911415438909775
"1370","Large fringe metro","2020-09-30",1.1993204301117,0.921590748324302,1.51307030507008,0.897761777283951,0.865485973519004,0.930620175608578
"1371","Large fringe metro","2020-10-01",1.16162531888599,0.888551325584832,1.47072988207641,0.897151447496498,0.864765384333153,0.930124535547499
"1372","Large fringe metro","2020-10-02",1.06738031023307,0.806287615492722,1.36453250762042,0.949651217611765,0.916195614116489,0.983698365779288
"1373","Large fringe metro","2020-10-03",1.10697615212218,0.840573402858893,1.40948814059735,0.960191012061985,0.926424570815849,0.994553407641618
"1374","Large fringe metro","2020-10-04",1.08957479308772,0.825233307973655,1.39008062985644,0.972835001645178,0.938728973169927,1.0075410965203
"1375","Large fringe metro","2020-10-05",1.12953017663532,0.859850704626005,1.43543087430453,0.979155468449036,0.944833392751339,1.01408131255338
"1376","Large fringe metro","2020-10-06",1.18848893076945,0.911207648313698,1.50204014271789,1.05009723371438,1.01444834788726,1.0863531264734
"1377","Large fringe metro","2020-10-07",1.1894950951649,0.911979068786253,1.50331175684321,1.08159902312677,1.04533854865748,1.11846908865678
"1378","Large fringe metro","2020-10-08",1.22818287922352,0.945850473892255,1.5468266233188,1.11045901383555,1.07366267602436,1.14786665797687
"1379","Large fringe metro","2020-10-09",1.22764633552456,0.945437269864976,1.54615087698479,1.15245631815984,1.11494330116471,1.19058135107078
"1380","Large fringe metro","2020-10-10",1.16869508525542,0.893959136672452,1.47968088933302,1.1739530175994,1.13610162764845,1.21241600879506
"1381","Large fringe metro","2020-10-11",1.10898983506061,0.842102476738749,1.41205211834448,1.22081354683491,1.1822578639225,1.25997924040848
"1382","Large fringe metro","2020-10-12",1.04865586224726,0.789991108221435,1.34339081946657,1.25236077634932,1.21339571305773,1.29193303460417
"1383","Large fringe metro","2020-10-13",1.02584292317747,0.77064477653487,1.3169791381249,1.27167173915124,1.23253578807376,1.31141081789132
"1384","Large fringe metro","2020-10-14",1.0591474528089,0.800068603470875,1.3540076726781,1.31926967446822,1.27957556506205,1.35956164447538
"1385","Large fringe metro","2020-10-15",1.11020613504508,0.845140348832698,1.41087347292762,1.3731254038358,1.33284018319146,1.4140020471723
"1386","Large fringe metro","2020-10-16",1.12265328655031,0.856702728226219,1.42400526266521,1.39731081186222,1.3569310408348,1.43827437029808
"1387","Large fringe metro","2020-10-17",1.15308698379848,0.884065178569146,1.45729833309385,1.45548258976767,1.41457429417193,1.49696587762276
"1388","Large fringe metro","2020-10-18",1.16439581619535,0.89475371606337,1.4690091893698,1.48820995398163,1.44719744248617,1.52978752545631
"1389","Large fringe metro","2020-10-19",1.13875993785881,0.873080714599835,1.43919147692481,1.52148359362103,1.48041562595218,1.56310560117456
"1390","Large fringe metro","2020-10-20",1.11353941649487,0.851769420424101,1.40984848391521,1.52913664918214,1.48841048006133,1.57040484928571
"1391","Large fringe metro","2020-10-21",1.12513111496377,0.862631574235158,1.42196705139054,1.56225120297783,1.52157008324953,1.60346153293285
"1392","Large fringe metro","2020-10-22",1.06469544638458,0.810495503991704,1.35303752576528,1.60008004997987,1.55943018132736,1.64124565862963
"1393","Large fringe metro","2020-10-23",1.04111429757685,0.790561735410016,1.32562770447013,1.60903734611072,1.5688273767116,1.64974903943255
"1394","Large fringe metro","2020-10-24",1.12522577316764,0.864654379506213,1.41959201322111,1.63556933628028,1.59561069434368,1.67601527509844
"1395","Large fringe metro","2020-10-25",1.17325917041022,0.907398557398707,1.47275731999412,1.64381648181495,1.60436233650514,1.6837432113177
"1396","Large fringe metro","2020-10-26",1.15033972163248,0.887807911347166,1.44635878729855,1.62591533125034,1.58729650729023,1.66499186780695
"1397","Large fringe metro","2020-10-27",1.26884734234476,0.992794900076169,1.57824940680336,1.63207668244281,1.59401349058956,1.67058273643809
"1398","Large fringe metro","2020-10-28",1.28130389173608,1.00433771504502,1.59148622134577,1.62769580653469,1.59031580107968,1.66550399181893
"1399","Large fringe metro","2020-10-29",1.29384625625117,1.01594759726339,1.60483339716214,1.61705042283991,1.58042214310441,1.6540924751505
"1400","Large fringe metro","2020-10-30",1.28897505623236,1.01212265752963,1.59879136207746,1.62211612115615,1.58605441561237,1.65857756071385
"1401","Large fringe metro","2020-10-31",1.30147014527194,1.0236888293417,1.61209156502412,1.59333438055731,1.55820667246948,1.62884820031509
"1402","Large fringe metro","2020-11-01",1.41739636779559,1.12729739458306,1.74021019134806,1.60741751787933,1.57273651705013,1.64247148706214
"1403","Large fringe metro","2020-11-02",1.5147708865392,1.21489054550603,1.84723174351904,1.60424138559775,1.5701844810556,1.6386586052908
"1404","Large fringe metro","2020-11-03",1.55922679193386,1.25539214961431,1.89549340784177,1.62149404150807,1.5878342916623,1.65550192471736
"1405","Large fringe metro","2020-11-04",1.63641086617698,1.32549805541967,1.97958963952797,1.62338489211218,1.590276031237,1.65683013051536
"1406","Large fringe metro","2020-11-05",1.67760270958366,1.36347270119971,2.02380924681812,1.63953373481059,1.60682421786269,1.67256825751681
"1407","Large fringe metro","2020-11-06",1.69986149312454,1.38456510415401,2.04701686435588,1.66244691542788,1.63006959161854,1.6951382133541
"1408","Large fringe metro","2020-11-07",1.78665806397261,1.46420940027748,2.14071602707729,1.70014110810794,1.66795966424059,1.73262577817773
"1409","Large fringe metro","2020-11-08",1.91923771863598,1.58590326252764,2.28389426866496,1.71522485172442,1.68346429201754,1.74727810033123
"1410","Large fringe metro","2020-11-09",1.98079858921432,1.64361414645405,2.3489747856624,1.76130420481057,1.72969071974704,1.7932000074078
"1411","Large fringe metro","2020-11-10",2.00522029508436,1.66783849573657,2.37321735034861,1.81582399705886,1.78430856825323,1.84761148997219
"1412","Large fringe metro","2020-11-11",2.04115167052141,1.70288394345405,2.40960992594304,1.84410408088922,1.81294161354965,1.87552841317452
"1413","Large fringe metro","2020-11-12",2.22876713545596,1.87727197571998,2.60997936261696,1.8767803596178,1.84595592428918,1.90785648896231
"1414","Large fringe metro","2020-11-13",2.34355241708391,1.98579949680496,2.7304981020953,1.92361673512385,1.89304083071158,1.9544341974496
"1415","Large fringe metro","2020-11-14",2.31255196645111,1.9606386190253,2.69308372795518,1.97371672697209,1.94339530991217,2.00426960608612
"1416","Large fringe metro","2020-11-15",2.24754718316796,1.90444985691162,2.61864137250488,2.00147251078785,1.97160588896868,2.03156054029373
"1417","Large fringe metro","2020-11-16",2.35290454760262,2.00555581116928,2.72758549607902,2.03229124542541,2.00287882216469,2.0619150897447
"1418","Large fringe metro","2020-11-17",2.43276476094713,2.08374761637759,2.80840896540975,2.02246383837721,1.9938139902795,2.05131523051464
"1419","Large fringe metro","2020-11-18",2.52908274474171,2.17775926117244,2.90629266489685,1.9921481275046,1.96440428604713,2.02008382072203
"1420","Large fringe metro","2020-11-19",2.58639626058391,2.23610134676602,2.96180715306135,1.96133382471678,1.93448699584489,1.98836310070514
"1421","Large fringe metro","2020-11-20",2.72298219077885,2.36875205791279,3.10153500686524,1.94023507316859,1.91419990574173,1.9664436651337
"1422","Large fringe metro","2020-11-21",2.74401312322025,2.39413831182177,3.11740063306783,1.9051507864164,1.87999706030306,1.93046935638328
"1423","Large fringe metro","2020-11-22",2.78011365643013,2.43385597728202,3.14906422790039,1.89806334449916,1.87357936678971,1.92270406405808
"1424","Large fringe metro","2020-11-23",2.79460345442124,2.45356981831298,3.15750592775204,1.88377818717778,1.85998535807865,1.90772013626753
"1425","Large fringe metro","2020-11-24",2.85602811042414,2.51749424118477,3.21560740830146,1.85018546132528,1.82717780846514,1.87333507242563
"1426","Large fringe metro","2020-11-25",2.90504421032234,2.57003245230094,3.2602823865994,1.83247218956343,1.81012183224829,1.85495778875025
"1427","Large fringe metro","2020-11-26",2.75772043709062,2.4379845565235,3.09687106822108,1.78508443302816,1.76354341399496,1.80675440323654
"1428","Large fringe metro","2020-11-27",2.72256462046708,2.41135611798194,3.05238694884139,1.71127848045525,1.69067348186292,1.7320065541848
