"","county","date","R.deaths","R.deaths.q2.5","R.deaths.q97.5","R.cases","R.cases.q2.5","R.cases.q97.5"
"9877","GALLIA","2020-04-19",1.31402656711929,0.0332682723125819,4.84728560560623,5,0.126589039921449,18.4443972705697
"9878","GALLIA","2020-04-20",1.30441697027461,0.0330249783848618,4.81183696124357,5,0.126589039921449,18.4443972705697
"9879","GALLIA","2020-04-21",1.30564657828648,0.0330561093644023,4.81637283697518,5,0.126589039921449,18.4443972705697
"9880","GALLIA","2020-04-22",1.31705391379876,0.0333449180945144,4.85845312257258,5,0.126589039921449,18.4443972705697
"9881","GALLIA","2020-04-23",1.33815927533474,0.0338792595853215,4.93630825711432,5,0.126589039921449,18.4443972705697
"9882","GALLIA","2020-04-24",1.36863400654954,0.0346508129785907,5.04872586696225,5,0.126589039921449,18.4443972705697
"9883","GALLIA","2020-04-25",1.40827074013058,0.0356543281885198,5.19494099909753,5,0.126589039921449,18.4443972705697
"9884","GALLIA","2020-04-26",1.4569545570864,0.0368868957181497,5.37452973121371,5,0.126589039921449,18.4443972705697
"9885","GALLIA","2020-04-27",1.51463464764563,0.0383472291754445,5.58730463218905,5,0.126589039921449,18.4443972705697
"9886","GALLIA","2020-04-28",1.58129595534816,0.0400349473638389,5.83321016055729,5,0.126589039921449,18.4443972705697
"9887","GALLIA","2020-04-29",1.65693036297756,0.0419498447732056,6.11221637288547,5,0.126589039921449,18.4443972705697
"9888","GALLIA","2020-04-30",1.74150719712685,0.0440911448201166,6.4242101186728,5,0.126589039921449,18.4443972705697
"9889","GALLIA","2020-05-01",1.8349431622032,0.0464567386427463,6.76888413051825,5,0.126589039921449,18.4443972705697
"9890","GALLIA","2020-05-02",1.93707224228078,0.0490424230817628,7.145625995684,5,0.126589039921449,18.4443972705697
"9891","GALLIA","2020-05-03",2.04761659961904,0.0518411638945994,7.55341080423731,5,0.126589039921449,18.4443972705697
"9892","GALLIA","2020-05-04",2.16616000341056,0.0548424230295972,7.99070313090458,5,0.126589039921449,18.4443972705697
"9893","GALLIA","2020-05-05",2.29212577024185,0.0580316001268256,8.45537566009022,5,0.126589039921449,18.4443972705697
"9894","GALLIA","2020-05-06",2.42476149662456,0.06138964597924,8.94465286602491,5,0.126589039921449,18.4443972705697
"9895","GALLIA","2020-05-07",2.56313291131264,0.0648929068868274,9.45508833470445,5,0.126589039921449,18.4443972705697
"9896","GALLIA","2020-05-08",2.70612887907476,0.0685132513411563,9.98258322220325,5,0.126589039921449,18.4443972705697
"9897","GALLIA","2020-05-09",2.85247889539481,0.072218512952845,10.5224507905155,5,0.126589039921449,18.4443972705697
"9898","GALLIA","2020-05-10",3.00078333912044,0.0759732563823076,11.0695280059288,5,0.126589039921449,18.4443972705697
"9899","GALLIA","2020-05-11",3.14955540177004,0.0797398388978967,11.618330211183,5,0.126589039921449,18.4443972705697
"9900","GALLIA","2020-05-12",3.29727217978972,0.0834797039198569,12.1632395986478,5,0.126589039921449,18.4443972705697
"9901","GALLIA","2020-05-13",3.44243114945247,0.0871548108409759,12.698713539417,5,0.126589039921449,18.4443972705697
"9902","GALLIA","2020-05-14",3.58360739673258,0.0907290839615563,13.2194956974175,5,0.126589039921449,18.4443972705697
"9903","GALLIA","2020-05-15",3.71950673701036,0.0941697573639009,13.7208119815959,5,0.126589039921449,18.4443972705697
"9904","GALLIA","2020-05-16",3.84901030363392,0.097448503796957,14.198535027748,5,0.126589039921449,18.4443972705697
"9905","GALLIA","2020-05-17",3.97120723821843,0.100542262323036,14.6493047890925,5,0.126589039921449,18.4443972705697
"9906","GALLIA","2020-05-18",4.08541358032544,0.10343371656309,15.0705982180206,5,0.126589039921449,18.4443972705697
"9907","GALLIA","2020-05-19",4.19117705765895,0.10611141597397,15.4607469365518,5,0.126589039921449,18.4443972705697
"9908","GALLIA","2020-05-20",4.28826894535989,0.108569569743615,15.8189072062529,5,0.126589039921449,18.4443972705697
"9909","GALLIA","2020-05-21",4.37666528100445,0.110807571195979,16.1449906326311,5,0.126589039921449,18.4443972705697
"9910","GALLIA","2020-05-22",4.45652037688598,0.112829327180075,16.4395664551348,5,0.126589039921449,18.4443972705697
"9911","GALLIA","2020-05-23",4.52813575491327,0.114642471569692,16.7037469517383,5,0.126589039921449,18.4443972705697
"9912","GALLIA","2020-05-24",4.591927417676,0.116257536638517,16.9390667058475,5,0.126589039921449,18.4443972705697
"9913","GALLIA","2020-05-25",4.64839388532908,0.117687143824109,17.1473646982193,5,0.126589039921449,18.4443972705697
"9914","GALLIA","2020-05-26",4.69808680610619,0.118945259650522,17.3306758926889,5,0.126589039921449,18.4443972705697
"9915","GALLIA","2020-05-27",4.74158530533094,0.120046546301499,17.4911366127638,5,0.126589039921449,18.4443972705697
"9916","GALLIA","2020-05-28",4.77947465797839,0.121005821656476,17.6309058672747,5,0.126589039921449,18.4443972705697
"9917","GALLIA","2020-05-29",4.81232940134004,0.12183763174028,17.7521030550317,5,0.126589039921449,18.4443972705697
"9918","GALLIA","2020-05-30",4.84070066408342,0.122555929922689,17.856761223253,5,0.126589039921449,18.4443972705697
"9919","GALLIA","2020-05-31",4.86510727035433,0.123173851693804,17.9467942516704,5,0.126589039921449,18.4443972705697
"9920","GALLIA","2020-06-01",4.88603006367308,0.123703570957543,18.0239759140666,5,0.126589039921449,18.4443972705697
"9921","GALLIA","2020-06-02",4.903908860886,0.124156222912369,18.0899286417696,5,0.126589039921449,18.4443972705697
"9922","GALLIA","2020-06-03",4.91914146700486,0.124541879109187,18.1461198895141,5,0.126589039921449,18.4443972705697
"9923","GALLIA","2020-06-04",4.93208423622471,0.12486956165508,18.1938642049685,5,0.126589039921449,18.4443972705697
"9924","GALLIA","2020-06-05",4.94305373611057,0.125147285346874,18.2343293677194,5,0.126589039921449,18.4443972705697
"9925","GALLIA","2020-06-06",4.95232914890442,0.125382118466964,18.2685452474031,5,0.126589039921449,18.4443972705697
