"","date","R.deaths","R.deaths.q2.5","R.deaths.q97.5","R.cases","R.cases.q2.5","R.cases.q97.5"
"103","2020-05-17",1.09068869999772,1.00342425284488,1.18153967485376,0.970906194980936,0.949491414582128,0.992556465313426
"104","2020-05-18",1.0857226903175,0.99958455263389,1.17537010850807,0.975785333308115,0.954309374340935,0.997496939770342
"105","2020-05-19",1.05935544756205,0.975097722277059,1.1470548462906,0.97893046172148,0.957411185058983,1.00068557416839
"106","2020-05-20",1.02164233783731,0.939622855939035,1.10704479119077,0.961020506734967,0.939690262505936,0.982586805142434
"107","2020-05-21",1.00287907462362,0.922227776565419,1.08686286381185,0.975815574795483,0.954308935585119,0.997558531595927
"108","2020-05-22",0.998644185585165,0.918676090211266,1.0819018476704,0.966456888329802,0.945040473395545,0.988109925721455
"109","2020-05-23",0.977404788429781,0.898734534855241,1.05932859127288,0.969482578079073,0.948017040749081,0.991185080507145
"110","2020-05-24",0.941247594994055,0.864422592821721,1.021296428781,0.980548538679555,0.958943079678242,1.00239134010321
"111","2020-05-25",0.930867796380764,0.854755171417743,1.01018027269439,0.966611779683714,0.945143589010816,0.988317706176453
"112","2020-05-26",0.890128591936711,0.815950198746028,0.967488017064592,0.972295486401467,0.950745534569204,0.994083582523115
"113","2020-05-27",0.854402685402114,0.781918960443279,0.930053283440874,0.963065779631603,0.94159999062716,0.984770135919408
"114","2020-05-28",0.841716414067821,0.769895426945548,0.916694314417596,0.95942595642699,0.937981254345465,0.981109668114717
"115","2020-05-29",0.810125069351117,0.739762574706544,0.883638278469503,0.974970707454507,0.953330832799999,0.996850062856547
"116","2020-05-30",0.772851158399627,0.704193041235737,0.844657210941082,0.97606463510306,0.954390696246795,0.997978541217413
"117","2020-05-31",0.751339273466779,0.683661692072881,0.822165173061696,0.975116465485868,0.953431371191922,0.99704201168888
"118","2020-06-01",0.737164781345227,0.670108904564426,0.807372325750512,0.961529165723616,0.93997535275506,0.983323906341561
"119","2020-06-02",0.715275596294273,0.649183298876712,0.784525757330865,0.943435248452341,0.922065222073103,0.965046682042302
"120","2020-06-03",0.722338151284828,0.655819800701683,0.792023403449285,0.941748325371146,0.9203748430845,0.96336373090102
"121","2020-06-04",0.689805194995869,0.624719894487417,0.758069262528927,0.91236980053993,0.891309376633666,0.933672723399721
"122","2020-06-05",0.649184518891988,0.585949672125815,0.715612934956518,0.894623252333474,0.873741053395915,0.915748624266107
"123","2020-06-06",0.625694814935974,0.563475038581089,0.691126044399434,0.866075199063335,0.845496535298669,0.886897853577352
"124","2020-06-07",0.602500839263744,0.541280826643735,0.666953396308805,0.849618407504712,0.829195415330411,0.870286401890745
"125","2020-06-08",0.591586660911818,0.530715668576322,0.65571466377376,0.843282160310523,0.82288453704375,0.863926032482628
"126","2020-06-09",0.588002769140253,0.527068201657948,0.652222353181102,0.819379286900559,0.799213889123648,0.839792432033805
"127","2020-06-10",0.577921978283372,0.51724348552224,0.641917205045501,0.823517966225612,0.80322978299702,0.844055665926504
"128","2020-06-11",0.575285416749037,0.514433889840359,0.639489328872583,0.810056480042078,0.789854370295964,0.830510143339976
"129","2020-06-12",0.574951503387614,0.513768228985243,0.639526957826602,0.784352474293217,0.764385529317309,0.804573269474394
"130","2020-06-13",0.584250913260275,0.522171934919467,0.649766234893102,0.784583299304353,0.764513137333523,0.80490988334552
"131","2020-06-14",0.570452005653311,0.508710635387157,0.635678407112784,0.777564256835557,0.757474631999887,0.797913153965062
"132","2020-06-15",0.55491128609867,0.493589828274394,0.61977118477335,0.789690462717116,0.769323125752741,0.810320191616253
"133","2020-06-16",0.5393648011999,0.478453060871642,0.603873241960359,0.810036059042301,0.789275613813935,0.831062253657824
"134","2020-06-17",0.510195259138646,0.450502075141178,0.573548300369582,0.818813464581206,0.797802739380467,0.840093471691383
"135","2020-06-18",0.513793792769232,0.453345934222395,0.577969674760266,0.85568072608095,0.83405529096462,0.877579086168943
"136","2020-06-19",0.531899318161777,0.469780601377836,0.597819190651913,0.891842775967264,0.86961546593655,0.914346674591144
"137","2020-06-20",0.510043743777576,0.448654259975159,0.575312341940031,0.934705428614976,0.911801485198715,0.957889529918171
"138","2020-06-21",0.512576241169425,0.450396690414027,0.578717795281329,0.976105321389315,0.952557975643648,0.999936172450087
"139","2020-06-22",0.53034703562839,0.466389417879561,0.598354442998709,1.03270894829251,1.00835741151566,1.05734698858911
"140","2020-06-23",0.538102730003938,0.472955106577672,0.607392763220882,1.0831148243443,1.05806408484188,1.10845458060959
"141","2020-06-24",0.548527856705523,0.48198709073292,0.619308517224243,1.12724531794242,1.10160303453854,1.15317851776546
"142","2020-06-25",0.550304513951688,0.48287920567671,0.622072040204684,1.20432617662751,1.17776297131032,1.2311814870862
"143","2020-06-26",0.538044204265533,0.470609107416023,0.609928645194926,1.28459283043775,1.25713663628474,1.31234149943725
