SrcName,ncessch,schnam,leaid,gslo,gshi,STUSAB,openEnroll,level,MultiBdy,EXACT_CITY,COUNTY,LEVEL_,ENROLLMENT,SchoolYear,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment_1,DATE,ending_teachingmethod,starting_teachingmethod,ending_staffmaskpolicy,ending_studentmaskpolicy,ending_lastverifieddate,District_nces,OpenDateGrouped,starting_staffmaskpolicy,starting_studentmaskpolicy,starting_lastverifieddate
Bettes ES,3.90E+11,Bettes Elementary School,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,NOT REPORTED,-999,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Harris-Jackson CLC,3.90E+11,Harris Elementary School,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,524,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Hatton ES,3.90E+11,Hatton CLC,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,517,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Sam Salem ES,3.90E+11,Sam Salem Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,350,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
David Hill ES,3.90E+11,Hill Community Learning Center,3904348,KG,6,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,316,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Hyre CLC (MS),3.90E+11,Hyre Community Learning Center,3904348,5,8,OH,0,2,0,AKRON,SUMMIT,MIDDLE,807,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Innes CLC (MS),3.90E+11,Innes Community Learning Center,3904348,6,8,OH,0,2,0,AKRON,SUMMIT,MIDDLE,714,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Jennings CLC (MS),3.90E+11,Jennings Community Learning Center,3904348,6,8,OH,0,2,0,AKRON,SUMMIT,MIDDLE,687,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Kenmore CLC (HS),3.90E+11,Kenmore High School,3904348,9,12,OH,0,3,0,AKRON,SUMMIT,NOT REPORTED,-999,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Kent (MS),3.90E+11,Kent Middle School,3904348,5,8,OH,0,2,0,AKRON,SUMMIT,NOT REPORTED,-999,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
King ES,3.90E+11,King Elementary School,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,444,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Betty Jane ES,3.90E+11,Betty Jane Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,453,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Lawndale ES,3.90E+11,Lawndale Elementary School,3904348,KG,5,OH,0,1,0,NA,NA,NA,NA,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Leggett ES,3.90E+11,Leggett Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,370,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Litchfield (MS),3.90E+11,Litchfield Middle School,3904348,6,8,OH,0,2,0,AKRON,SUMMIT,MIDDLE,672,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Mason ES,3.90E+11,Mason Community Learning Center,3904348,KG,6,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,249,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
McEbright ES,3.90E+11,McEbright Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,267,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
North (HS),3.90E+11,North High School,3904348,8,12,OH,0,3,0,AKRON,SUMMIT,HIGH,914,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Pfeiffer ES,3.90E+11,Pfeiffer Elementary School,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,235,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Portage Path ES,3.90E+11,Portage Path Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,303,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
"Buchtel CLC, 9-12",3.90E+11,Buchtel High School,3904348,6,12,OH,0,4,0,AKRON,SUMMIT,HIGH,850,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Rimer ES,3.90E+11,Rimer Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,306,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Ritzman ES,3.90E+11,Ritzman Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,360,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Robinson ES,3.90E+11,Robinson Community Learning Center,3904348,KG,6,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,286,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Schumacher ES,3.90E+11,Schumacher Community Learning Cent,3904348,KG,6,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,446,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Seiberling ES,3.90E+11,Seiberling CLC,3904348,KG,6,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,515,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Smith ES,3.90E+11,Smith Elementary School,3904348,KG,5,OH,0,1,0,NA,NA,NA,NA,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Case ES,3.90E+11,Case Elementary School,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,304,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Voris ES,3.90E+11,Voris Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,346,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Windemere ES,3.90E+11,Windemere CLC,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,293,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Crouse ES,3.90E+11,Crouse Community Learning Center,3904348,KG,6,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,381,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
"East CLC, 9-12",3.90E+11,East Community Learning Center,3904348,6,12,OH,0,4,0,AKRON,SUMMIT,HIGH,1113,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Ellet (HS),3.90E+11,Ellet High School,3904348,9,12,OH,0,3,0,AKRON,SUMMIT,HIGH,1030,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
NA,3.90E+11,Miller-South Visual Performing Arts,3904348,4,8,OH,0,2,0,AKRON,SUMMIT,MIDDLE,482,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
NA,3.90E+11,Akron Alternative Academy,3904348,9,12,OH,0,3,0,AKRON,SUMMIT,HIGH,239,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Helen Arnold ES,3.90E+11,Helen Arnold Community Learning Center,3904348,KG,6,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,296,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
NA,3.90E+11,Akron Opportunity Center,3904348,N,N,OH,1,N,0,NA,NA,NA,NA,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
NA,3.90E+11,Akron Early College High School,3904348,9,12,OH,0,3,0,AKRON,SUMMIT,HIGH,384,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
NA,3.90E+11,National Inventors Hall of Fame School Center for STEM,3904348,5,8,OH,0,2,0,AKRON,SUMMIT,MIDDLE,388,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
NA,3.90E+11,Akron STEM High School,3904348,9,12,OH,0,3,0,AKRON,SUMMIT,HIGH,329,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
NA,3.90E+11,Alexander Elementary School,3904590,PK,5,OH,0,1,0,ALBANY,ATHENS,ELEMENTARY,707,2020-2021,Alexander Local School District,Public,Albany,OH,1537,10/13/20,Hybrid,Online Only,Required for all staff,Required for all students,1/8/21,3904590,10/20/20,Required for all staff,Required for all students,9/30/20
NA,3.90E+11,Alexander Jr. / Sr. High School,3904590,6,12,OH,0,4,0,ALBANY,ATHENS,HIGH,799,2020-2021,Alexander Local School District,Public,Albany,OH,1537,10/13/20,Hybrid,Online Only,Required for all staff,Required for all students,1/8/21,3904590,10/20/20,Required for all staff,Required for all students,9/30/20
NA,3.90E+11,Allen East High School,3904575,7,12,OH,0,3,0,HARROD,ALLEN,HIGH,318,2020-2021,Allen East Local School District,Public,Harrod,OH,1200,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/13/20,3904575,9/2/20,Required for all staff,Required for all students,9/9/20
NA,3.90E+11,Allen East Elementary School,3904575,KG,6,OH,0,1,0,HARROD,ALLEN,ELEMENTARY,491,2020-2021,Allen East Local School District,Public,Harrod,OH,1200,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/13/20,3904575,9/2/20,Required for all staff,Required for all students,9/9/20
NA,3.90E+11,Alliance High School,3904349,9,12,OH,0,3,0,ALLIANCE,STARK,HIGH,981,2020-2021,Alliance City School District,Public,Alliance,OH,3106,8/24/20,On Premises,Other,Required for all staff,Required for all students,1/14/21,3904349,8/26/20,Required for all staff,Required for all students,10/9/20
NA,3.90E+11,Parkway Elementary School,3904349,1,3,OH,0,1,0,ALLIANCE,STARK,ELEMENTARY,286,2020-2021,Alliance City School District,Public,Alliance,OH,3106,8/24/20,On Premises,Other,Required for all staff,Required for all students,1/14/21,3904349,8/26/20,Required for all staff,Required for all students,10/9/20
NA,3.90E+11,Alliance Early Learning School at South Lincoln,3904349,PK,1,OH,0,1,0,ALLIANCE,STARK,ELEMENTARY,429,2020-2021,Alliance City School District,Public,Alliance,OH,3106,8/24/20,On Premises,Other,Required for all staff,Required for all students,1/14/21,3904349,8/26/20,Required for all staff,Required for all students,10/9/20
NA,3.90E+11,Alliance Middle School,3904349,6,8,OH,0,2,0,ALLIANCE,STARK,MIDDLE,650,2020-2021,Alliance City School District,Public,Alliance,OH,3106,8/24/20,On Premises,Other,Required for all staff,Required for all students,1/14/21,3904349,8/26/20,Required for all staff,Required for all students,10/9/20
NA,3.90E+11,Northside Intermediate School,3904349,3,5,OH,0,1,0,ALLIANCE,STARK,ELEMENTARY,431,2020-2021,Alliance City School District,Public,Alliance,OH,3106,8/24/20,On Premises,Other,Required for all staff,Required for all students,1/14/21,3904349,8/26/20,Required for all staff,Required for all students,10/9/20
NA,3.90E+11,Rockhill Elementary School,3904349,1,5,OH,0,1,0,ALLIANCE,STARK,ELEMENTARY,311,2020-2021,Alliance City School District,Public,Alliance,OH,3106,8/24/20,On Premises,Other,Required for all staff,Required for all students,1/14/21,3904349,8/26/20,Required for all staff,Required for all students,10/9/20
NA,3.90E+11,Amanda-Clearcreek Middle School,3904684,6,8,OH,0,2,0,AMANDA,FAIRFIELD,MIDDLE,360,2020-2021,Amanda-Clearcreek Local School District,Public,Amanda,OH,1596,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904684,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Amanda-Clearcreek Elementary School,3904684,3,5,OH,0,1,0,AMANDA,FAIRFIELD,ELEMENTARY,358,2020-2021,Amanda-Clearcreek Local School District,Public,Amanda,OH,1596,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904684,8/26/20,Required for all staff,Required for all students,10/5/20
