SrcName,ncessch,schnam,leaid,gslo,gshi,STUSAB,openEnroll,level,MultiBdy,EXACT_CITY,COUNTY,LEVEL_,ENROLLMENT,SchoolYear,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment_1,DATE,ending_teachingmethod,starting_teachingmethod,ending_staffmaskpolicy,ending_studentmaskpolicy,ending_lastverifieddate,District_nces,OpenDateGrouped,starting_staffmaskpolicy,starting_studentmaskpolicy,starting_lastverifieddate
NA,3.90E+11,Crooksville Elementary School,3904535,PK,4,OH,0,1,0,CROOKSVILLE,PERRY,ELEMENTARY,457,2020-2021,Crooksville Exempted Village School Dist,Public,Crooksville,OH,1063,8/19/20,On Premises,Hybrid,Required for all staff,Required for all students,1/14/21,3904535,8/26/20,Pending,Pending,8/21/20
NA,3.90E+11,Crooksville High School,3904535,9,12,OH,0,3,0,CROOKSVILLE,PERRY,HIGH,336,2020-2021,Crooksville Exempted Village School Dist,Public,Crooksville,OH,1063,8/19/20,On Premises,Hybrid,Required for all staff,Required for all students,1/14/21,3904535,8/26/20,Pending,Pending,8/21/20
NA,3.90E+11,Crooksville Middle School,3904535,5,8,OH,0,2,0,CROOKSVILLE,PERRY,MIDDLE,313,2020-2021,Crooksville Exempted Village School Dist,Public,Crooksville,OH,1063,8/19/20,On Premises,Hybrid,Required for all staff,Required for all students,1/14/21,3904535,8/26/20,Pending,Pending,8/21/20
NA,3.90E+11,Bolich Middle School,3904383,6,8,OH,0,2,0,CUYAHOGA FALLS,SUMMIT,MIDDLE,598,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Cuyahoga Falls High School,3904383,9,12,OH,0,3,0,CUYAHOGA FALLS,SUMMIT,HIGH,1542,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Elizabeth Price Elementary School,3904383,KG,5,OH,0,1,0,CUYAHOGA FALLS,SUMMIT,ELEMENTARY,329,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Gordon Dewitt Elementary School,3904383,KG,5,OH,0,1,0,CUYAHOGA FALLS,SUMMIT,ELEMENTARY,425,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Lincoln Elementary School,3904383,KG,5,OH,0,1,0,CUYAHOGA FALLS,SUMMIT,ELEMENTARY,511,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Preston Elementary School,3904383,KG,5,OH,0,1,0,CUYAHOGA FALLS,SUMMIT,ELEMENTARY,285,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Richardson Elementary School,3904383,KG,5,OH,0,1,0,CUYAHOGA FALLS,SUMMIT,ELEMENTARY,399,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Roberts Middle School,3904383,6,8,OH,0,2,0,CUYAHOGA FALLS,SUMMIT,MIDDLE,436,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Silver Lake Elementary School,3904383,KG,5,OH,0,1,0,SILVER LAKE,SUMMIT,ELEMENTARY,255,2020-2021,Cuyahoga Falls City School District,Public,Cuyahoga Falls,OH,4824,8/26/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/5/20,3904383,8/26/20,Required for all staff,Required for all students,10/5/20
NA,3.90E+11,Cuyahoga Hts Middle School,3904655,6,8,OH,0,2,0,CUYAHOGA HEIGHTS,CUYAHOGA,MIDDLE,198,2020-2021,Cuyahoga Heights Schools,Public,Cleveland,OH,880,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,9/30/20,3904655,9/9/20,Required for all staff,Required for all students,9/30/20
NA,3.90E+11,Cuyahoga Hts Elementary School,3904655,PK,5,OH,0,1,0,CUYAHOGA HEIGHTS,CUYAHOGA,ELEMENTARY,318,2020-2021,Cuyahoga Heights Schools,Public,Cleveland,OH,880,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,9/30/20,3904655,9/9/20,Required for all staff,Required for all students,9/30/20
NA,3.90E+11,Cuyahoga Hts High School,3904655,9,12,OH,0,3,0,CUYAHOGA HEIGHTS,CUYAHOGA,HIGH,242,2020-2021,Cuyahoga Heights Schools,Public,Cleveland,OH,880,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,9/30/20,3904655,9/9/20,Required for all staff,Required for all students,9/30/20
NA,3.91E+11,Dalton Elementary School,3905054,PK,4,OH,0,1,0,DALTON,WAYNE,ELEMENTARY,336,2020-2021,Dalton Local School District,Public,Dalton,OH,878,8/24/20,On Premises,Hybrid,Required for all staff,Required for all students,1/4/21,3905054,8/26/20,Required for all staff,Required for all students,9/29/20
NA,3.91E+11,Dalton High School,3905054,9,12,OH,0,3,0,DALTON,WAYNE,HIGH,253,2020-2021,Dalton Local School District,Public,Dalton,OH,878,8/24/20,On Premises,Hybrid,Required for all staff,Required for all students,1/4/21,3905054,8/26/20,Required for all staff,Required for all students,9/29/20
NA,3.91E+11,Dalton Middle School,3905054,5,8,OH,0,2,0,DALTON,WAYNE,MIDDLE,287,2020-2021,Dalton Local School District,Public,Dalton,OH,878,8/24/20,On Premises,Hybrid,Required for all staff,Required for all students,1/4/21,3905054,8/26/20,Required for all staff,Required for all students,9/29/20
NA,3.90E+11,Danbury Elementary School,3904893,PK,4,OH,0,1,0,LAKESIDE MARBLEHEAD,OTTAWA,ELEMENTARY,252,2020-2021,Danbury Local Schools,Public,Lakeside Marblehead,OH,680,9/9/20,On Premises,On Premises,Required for all staff,Required for all students,12/16/20,3904893,9/9/20,Required for all staff,Required for all students,9/15/20
NA,3.90E+11,Danbury High School,3904893,9,12,OH,0,3,0,LAKESIDE MARBLEHEAD,OTTAWA,HIGH,157,2020-2021,Danbury Local Schools,Public,Lakeside Marblehead,OH,680,9/9/20,On Premises,On Premises,Required for all staff,Required for all students,12/16/20,3904893,9/9/20,Required for all staff,Required for all students,9/15/20
NA,3.90E+11,Danbury Middle School,3904893,5,8,OH,0,2,0,LAKESIDE,OTTAWA,MIDDLE,142,2020-2021,Danbury Local Schools,Public,Lakeside Marblehead,OH,680,9/9/20,On Premises,On Premises,Required for all staff,Required for all students,12/16/20,3904893,9/9/20,Required for all staff,Required for all students,9/15/20
NA,3.90E+11,Danville Elementary School,3904783,PK,6,OH,0,1,0,DANVILLE,KNOX,ELEMENTARY,322,2020-2021,Danville Local School District,Public,Danville,OH,685,8/17/20,Other,Hybrid,Required for all staff,Required for all students,12/18/20,3904783,8/18/20,Pending,Pending,8/21/20
NA,3.90E+11,Danville High School,3904783,9,12,OH,0,3,0,DANVILLE,KNOX,HIGH,165,2020-2021,Danville Local School District,Public,Danville,OH,685,8/17/20,Other,Hybrid,Required for all staff,Required for all students,12/18/20,3904783,8/18/20,Pending,Pending,8/21/20
NA,3.90E+11,Danville Middle School,3904783,7,8,OH,0,2,0,DANVILLE,KNOX,MIDDLE,137,2020-2021,Danville Local School District,Public,Danville,OH,685,8/17/20,Other,Hybrid,Required for all staff,Required for all students,12/18/20,3904783,8/18/20,Pending,Pending,8/21/20
NA,3.90E+11,Dawson-Bryant High School,3904792,9,12,OH,0,3,0,COAL GROVE,LAWRENCE,HIGH,283,2020-2021,Dawson Bryant Local School District,Public,Coal Grove,OH,1145,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,11/13/20,3904792,9/2/20,Required for all staff,Required for all students,11/13/20
NA,3.90E+11,Dawson-Bryant Middle School,3904792,6,8,OH,0,2,0,COAL GROVE,LAWRENCE,MIDDLE,280,2020-2021,Dawson Bryant Local School District,Public,Coal Grove,OH,1145,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,11/13/20,3904792,9/2/20,Required for all staff,Required for all students,11/13/20
NA,3.90E+11,Dawson-Bryant Elementary School,3904792,PK,5,OH,0,1,0,IRONTON,LAWRENCE,ELEMENTARY,544,2020-2021,Dawson Bryant Local School District,Public,Coal Grove,OH,1145,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,11/13/20,3904792,9/2/20,Required for all staff,Required for all students,11/13/20
Belle Haven,3.90E+11,Belle Haven PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,388,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
BELMONT HIGH SCHOOL,3.90E+11,Belmont High School,3904384,7,12,OH,0,3,0,DAYTON,MONTGOMERY,HIGH,1123,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Louise Troy,3.90E+11,Louise Troy PreK-4 School,3904384,PK,4,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,468,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
THURGOOD MARSHALL HIGH SCHOOL,3.90E+11,Thurgood Marshall High School,3904384,9,12,OH,0,3,0,DAYTON,MONTGOMERY,HIGH,587,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
DUNBAR HIGH SCHOOL,3.90E+11,Dunbar High School,3904384,9,12,OH,0,3,0,DAYTON,MONTGOMERY,HIGH,605,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Eastmont,3.90E+11,Eastmont Park  PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,430,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Edison,3.90E+11,Edison PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,410,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Fairview,3.90E+11,Fairview PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,446,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Not Provided,3.90E+11,River's Edge Montessori PreK-6 School,3904384,PK,6,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,554,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Westwood,3.90E+11,Westwood PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,354,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Meadowdale,3.90E+11,Meadowdale PreK-8 School,3904384,PK,9,OH,0,4,0,DAYTON,MONTGOMERY,ELEMENTARY,358,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
MEADOWDALE HIGH SCHOOL,3.90E+11,Meadowdale High School,3904384,9,12,OH,0,3,0,DAYTON,MONTGOMERY,HIGH,475,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Wright Brothers,3.90E+11,Wright Brothers PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,MIDDLE,429,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
DAVID H. PONITZ CAREER TECHNOLOGY  CENTER,3.90E+11,David H. Ponitz Career Technology  Center,3904384,9,12,OH,0,3,0,DAYTON,MONTGOMERY,HIGH,763,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
STIVERS SCHOOL FOR THE ARTS,3.90E+11,Stivers School For The Arts,3904384,7,12,OH,0,3,0,DAYTON,MONTGOMERY,HIGH,883,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Valerie,3.90E+11,Valerie PreK-6 School,3904384,PK,6,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,414,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
EJ Brown,3.90E+11,Edwin Joel Brown PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,MIDDLE,295,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Kiser,3.90E+11,Kiser PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,559,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Wogaman,3.90E+11,Wogaman 5-8 School,3904384,5,8,OH,0,2,0,DAYTON,MONTGOMERY,MIDDLE,233,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
World of Wonder,3.90E+11,World of Wonder PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,333,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Not Provided,3.90E+11,Longfellow Alternative School,3904384,4,12,OH,1,4,0,DAYTON,MONTGOMERY,OTHER,200,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Horace Mann,3.90E+11,Horace Mann PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,434,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Kemp,3.90E+11,Kemp PreK-6 School,3904384,PK,6,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,501,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Not Provided,3.90E+11,Charity Adams Earley Girls Academy,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,381,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Not Provided,3.90E+11,Dayton Boys Preparatory Academy,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,206,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Cleveland,3.90E+11,Cleveland PreK-6 School,3904384,PK,6,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,419,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Ruskin,3.90E+11,Ruskin PreK-8 School,3904384,PK,8,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,550,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
Rosa Parks,3.90E+11,Rosa Parks Early Learning Center,3904384,PK,KG,OH,0,1,0,DAYTON,MONTGOMERY,ELEMENTARY,224,2020-2021,Dayton Public Schools,Public,Dayton,OH,13361,9/8/20,Online Only,Online Only,Required for all staff,Required for all students,12/14/20,3904384,9/9/20,Required for all staff,Required for all students,12/14/20
NA,3.90E+11,Amity Elementary School,3904385,3,6,OH,0,1,0,CINCINNATI,HAMILTON,ELEMENTARY,413,2020-2021,Deer Park Community City School District,Public,Cincinnati,OH,1344,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/15/20,3904385,8/26/20,Required for all staff,Required for all students,10/15/20
NA,3.90E+11,Deer Park  Jr/Sr High School,3904385,7,12,OH,0,3,0,CINCINNATI,HAMILTON,HIGH,546,2020-2021,Deer Park Community City School District,Public,Cincinnati,OH,1344,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/15/20,3904385,8/26/20,Required for all staff,Required for all students,10/15/20
NA,3.90E+11,Holmes Elementary School,3904385,KG,2,OH,0,1,0,CINCINNATI,HAMILTON,ELEMENTARY,263,2020-2021,Deer Park Community City School District,Public,Cincinnati,OH,1344,8/24/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/15/20,3904385,8/26/20,Required for all staff,Required for all students,10/15/20
NA,3.90E+11,Defiance Middle School,3904386,6,9,OH,0,2,0,DEFIANCE,DEFIANCE,MIDDLE,573,2020-2021,Defiance City School District,Public,Defiance,OH,2620,8/24/20,On Premises,On Premises,Required for all staff,Required for all students,10/2/20,3904386,8/26/20,Required for all staff,Required for all students,10/2/20
NA,3.90E+11,Defiance High School,3904386,9,12,OH,0,3,0,DEFIANCE,DEFIANCE,HIGH,734,2020-2021,Defiance City School District,Public,Defiance,OH,2620,8/24/20,On Premises,On Premises,Required for all staff,Required for all students,10/2/20,3904386,8/26/20,Required for all staff,Required for all students,10/2/20
NA,3.90E+11,Defiance Elementary School,3904386,KG,6,OH,0,1,0,DEFIANCE,DEFIANCE,ELEMENTARY,1146,2020-2021,Defiance City School District,Public,Defiance,OH,2620,8/24/20,On Premises,On Premises,Required for all staff,Required for all students,10/2/20,3904386,8/26/20,Required for all staff,Required for all students,10/2/20
NA,3.90E+11,Robert F Schultz Elementary School,3904387,KG,4,OH,0,1,0,DELAWARE,DELAWARE,ELEMENTARY,703,2020-2021,Delaware City School District,Public,Delaware,OH,5900,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,12/30/20,3904387,9/2/20,Required for all staff,Required for all students,12/30/20
NA,3.90E+11,David Smith Elementary School,3904387,KG,4,OH,0,1,0,DELAWARE,DELAWARE,ELEMENTARY,472,2020-2021,Delaware City School District,Public,Delaware,OH,5900,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,12/30/20,3904387,9/2/20,Required for all staff,Required for all students,12/30/20
NA,3.90E+11,Ervin Carlisle Elementary School,3904387,KG,4,OH,0,1,0,DELAWARE,DELAWARE,ELEMENTARY,575,2020-2021,Delaware City School District,Public,Delaware,OH,5900,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,12/30/20,3904387,9/2/20,Required for all staff,Required for all students,12/30/20
NA,3.90E+11,Frank B Willis Intermediate Middle School,3904387,4,7,OH,0,2,0,NA,NA,NA,NA,2020-2021,Delaware City School District,Public,Delaware,OH,5900,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,12/30/20,3904387,9/2/20,Required for all staff,Required for all students,12/30/20
NA,3.90E+11,James Conger Elementary School,3904387,PK,4,OH,0,1,0,DELAWARE,DELAWARE,ELEMENTARY,418,2020-2021,Delaware City School District,Public,Delaware,OH,5900,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,12/30/20,3904387,9/2/20,Required for all staff,Required for all students,12/30/20
NA,3.90E+11,Laura Woodward Elementary School,3904387,PK,4,OH,0,1,0,DELAWARE,DELAWARE,ELEMENTARY,573,2020-2021,Delaware City School District,Public,Delaware,OH,5900,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,12/30/20,3904387,9/2/20,Required for all staff,Required for all students,12/30/20
NA,3.90E+11,Rutherford B Hayes High School,3904387,9,12,OH,0,3,0,DELAWARE,DELAWARE,HIGH,1593,2020-2021,Delaware City School District,Public,Delaware,OH,5900,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,12/30/20,3904387,9/2/20,Required for all staff,Required for all students,12/30/20
NA,3.90E+11,John C Dempsey Middle School,3904387,4,9,OH,0,2,0,DELAWARE,DELAWARE,MIDDLE,1279,2020-2021,Delaware City School District,Public,Delaware,OH,5900,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,12/30/20,3904387,9/2/20,Required for all staff,Required for all students,12/30/20
NA,3.90E+11,Franklin Elementary School,3904388,KG,6,OH,2,1,0,DELPHOS,ALLEN,ELEMENTARY,342,2020-2021,Delphos City School District,Public,Delphos,OH,885,8/19/20,On Premises,Hybrid,Required for all staff,Required for all students,10/9/20,3904388,8/26/20,Required for all staff,Required for all students,9/8/20
NA,3.90E+11,Jefferson High School,3904388,8,12,OH,2,3,0,DELPHOS,VAN WERT,HIGH,319,2020-2021,Delphos City School District,Public,Delphos,OH,885,8/19/20,On Premises,Hybrid,Required for all staff,Required for all students,10/9/20,3904388,8/26/20,Required for all staff,Required for all students,9/8/20
NA,3.90E+11,Jefferson Middle School,3904388,6,8,OH,2,2,0,DELPHOS,VAN WERT,MIDDLE,219,2020-2021,Delphos City School District,Public,Delphos,OH,885,8/19/20,On Premises,Hybrid,Required for all staff,Required for all students,10/9/20,3904388,8/26/20,Required for all staff,Required for all students,9/8/20
NA,3.90E+11,Landeck Elementary School,3904388,1,5,OH,2,1,0,DELPHOS,ALLEN,ELEMENTARY,100,2020-2021,Delphos City School District,Public,Delphos,OH,885,8/19/20,On Premises,Hybrid,Required for all staff,Required for all students,10/9/20,3904388,8/26/20,Required for all staff,Required for all students,9/8/20
NA,3.90E+11,Dover High School,3904389,7,12,OH,2,3,0,DOVER,TUSCARAWAS,HIGH,836,2020-2021,Dover City School District,Public,Dover,OH,2773,9/8/20,Hybrid,Other,Required for all staff,Required for all students,1/22/21,3904389,9/9/20,Required for all staff,Required for all students,10/26/20
NA,3.90E+11,Dover Avenue Elementary School,3904389,KG,5,OH,2,1,0,DOVER,TUSCARAWAS,ELEMENTARY,344,2020-2021,Dover City School District,Public,Dover,OH,2773,9/8/20,Hybrid,Other,Required for all staff,Required for all students,1/22/21,3904389,9/9/20,Required for all staff,Required for all students,10/26/20
NA,3.90E+11,Dover Middle School,3904389,6,8,OH,2,2,0,DOVER,TUSCARAWAS,MIDDLE,603,2020-2021,Dover City School District,Public,Dover,OH,2773,9/8/20,Hybrid,Other,Required for all staff,Required for all students,1/22/21,3904389,9/9/20,Required for all staff,Required for all students,10/26/20
NA,3.90E+11,East Elementary School,3904389,KG,5,OH,2,1,0,DOVER,TUSCARAWAS,ELEMENTARY,544,2020-2021,Dover City School District,Public,Dover,OH,2773,9/8/20,Hybrid,Other,Required for all staff,Required for all students,1/22/21,3904389,9/9/20,Required for all staff,Required for all students,10/26/20
NA,3.90E+11,South Elementary School,3904389,PK,5,OH,2,1,0,DOVER,TUSCARAWAS,ELEMENTARY,416,2020-2021,Dover City School District,Public,Dover,OH,2773,9/8/20,Hybrid,Other,Required for all staff,Required for all students,1/22/21,3904389,9/9/20,Required for all staff,Required for all students,10/26/20
Willard Grizzell Middle School,3.90E+11,Willard Grizzell Middle School,3904702,6,8,OH,0,2,0,DUBLIN,DELAWARE,MIDDLE,871,2020-2021,Dublin City School District,Public,Dublin,OH,16246,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,1/15/21,3904702,9/2/20,Required for all staff,Required for all students,9/3/20
Dublin Scioto High School,3.90E+11,Dublin Scioto High School,3904702,9,12,OH,0,3,0,DUBLIN,FRANKLIN,HIGH,1318,2020-2021,Dublin City School District,Public,Dublin,OH,16246,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,1/15/21,3904702,9/2/20,Required for all staff,Required for all students,9/3/20
Mary Emma Bailey Elementary School,3.90E+11,Mary Emma Bailey Elementary School,3904702,PK,5,OH,0,1,0,DUBLIN,FRANKLIN,ELEMENTARY,639,2020-2021,Dublin City School District,Public,Dublin,OH,16246,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,1/15/21,3904702,9/2/20,Required for all staff,Required for all students,9/3/20
Henry Karrer Middle School,3.90E+11,Henry Karrer Middle School,3904702,6,8,OH,0,2,0,DUBLIN,FRANKLIN,MIDDLE,862,2020-2021,Dublin City School District,Public,Dublin,OH,16246,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,1/15/21,3904702,9/2/20,Required for all staff,Required for all students,9/3/20
Dublin Coffman High School,3.90E+11,Dublin Coffman High School,3904702,9,12,OH,0,3,0,DUBLIN,FRANKLIN,HIGH,1898,2020-2021,Dublin City School District,Public,Dublin,OH,16246,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,1/15/21,3904702,9/2/20,Required for all staff,Required for all students,9/3/20
John Sells Middle School,3.90E+11,John Sells Middle School,3904702,6,8,OH,0,2,0,DUBLIN,FRANKLIN,MIDDLE,923,2020-2021,Dublin City School District,Public,Dublin,OH,16246,8/31/20,Hybrid,Hybrid,Required for all staff,Required for all students,1/15/21,3904702,9/2/20,Required for all staff,Required for all students,9/3/20
