,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
422,Superior Elementary School,3904390,PK,6,,1.0,0,CUYAHOGA,326.0,East Cleveland City School District,East Cleveland,1942.0,2020-08-17,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,2020-09-24,2020-08-18,1942.0,2171.0,2171.0,98343.0
423,Heritage Middle School,3904390,7,8,,2.0,0,CUYAHOGA,246.0,East Cleveland City School District,East Cleveland,1942.0,2020-08-17,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,2020-09-24,2020-08-18,1942.0,2171.0,2171.0,98343.0
424,East Liverpool High School,3904391,9,12,0.0,3.0,0,COLUMBIANA,583.0,East Liverpool City Schools,East Liverpool,2380.0,2020-09-08,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,2020-10-01,2020-09-09,2380.0,2111.0,2380.0,17041.0
425,East Liverpool Junior High,3904391,7,8,0.0,2.0,0,COLUMBIANA,250.0,East Liverpool City Schools,East Liverpool,2380.0,2020-09-08,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,2020-10-01,2020-09-09,2380.0,2111.0,2380.0,17041.0
426,Lacroft Elementary School,3904391,KG,4,0.0,1.0,0,COLUMBIANA,441.0,East Liverpool City Schools,East Liverpool,2380.0,2020-09-08,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,2020-10-01,2020-09-09,2380.0,2111.0,2380.0,17041.0
427,North Elementary School,3904391,KG,4,0.0,1.0,0,COLUMBIANA,446.0,East Liverpool City Schools,East Liverpool,2380.0,2020-09-08,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,2020-10-01,2020-09-09,2380.0,2111.0,2380.0,17041.0
428,Westgate Middle School,3904391,3,6,0.0,1.0,0,COLUMBIANA,391.0,East Liverpool City Schools,East Liverpool,2380.0,2020-09-08,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,2020-10-01,2020-09-09,2380.0,2111.0,2380.0,17041.0
429,East Palestine Elementary School,3904392,KG,4,0.0,1.0,0,COLUMBIANA,447.0,East Palestine City School District,East Palestine,1200.0,2020-08-31,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,2021-01-15,2020-09-02,1200.0,1097.0,1200.0,17041.0
430,East Palestine High School,3904392,9,12,0.0,3.0,0,COLUMBIANA,347.0,East Palestine City School District,East Palestine,1200.0,2020-08-31,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,2021-01-15,2020-09-02,1200.0,1097.0,1200.0,17041.0
431,East Palestine Middle School,3904392,5,8,0.0,2.0,0,COLUMBIANA,303.0,East Palestine City School District,East Palestine,1200.0,2020-08-31,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,2021-01-15,2020-09-02,1200.0,1097.0,1200.0,17041.0
432,William Bruce Elementary School,3904393,3,5,0.0,1.0,0,PREBLE,484.0,Eaton Community Schools,Eaton,2135.0,2020-08-31,Hybrid,Yes,No,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-09-09,2020-09-02,2135.0,1971.0,2135.0,6610.0
433,Eaton Middle School,3904393,6,8,0.0,2.0,0,PREBLE,476.0,Eaton Community Schools,Eaton,2135.0,2020-08-31,Hybrid,Yes,No,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-09-09,2020-09-02,2135.0,1971.0,2135.0,6610.0
434,Eaton High School,3904393,9,12,0.0,3.0,0,PREBLE,544.0,Eaton Community Schools,Eaton,2135.0,2020-08-31,Hybrid,Yes,No,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-09-09,2020-09-02,2135.0,1971.0,2135.0,6610.0
435,Hollingsworth East Elementary School,3904393,KG,2,0.0,1.0,0,PREBLE,467.0,Eaton Community Schools,Eaton,2135.0,2020-08-31,Hybrid,Yes,No,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-09-09,2020-09-02,2135.0,1971.0,2135.0,6610.0
436,Crestwood Elementary School,3904394,KG,5,0.0,1.0,0,LORAIN,435.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
437,Eastern Heights Middle School,3904394,6,8,0.0,2.0,0,LORAIN,433.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
438,Ely Elementary School,3904394,KG,5,0.0,1.0,0,LORAIN,411.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
439,Elyria High School,3904394,9,12,0.0,3.0,0,LORAIN,1849.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
440,Franklin Elementary School,3904394,PK,5,0.0,1.0,0,LORAIN,448.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
441,Mckinley Elementary School,3904394,KG,5,0.0,1.0,0,LORAIN,322.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
442,Northwood Middle School,3904394,6,8,0.0,2.0,0,LORAIN,449.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
443,Oakwood Elementary School,3904394,1,5,0.0,1.0,0,LORAIN,279.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
444,Prospect Elementary School,3904394,KG,5,0.0,1.0,0,LORAIN,349.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
445,Westwood Middle School,3904394,6,8,0.0,2.0,0,LORAIN,410.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
446,Windsor Elementary School,3904394,KG,5,0.0,1.0,0,LORAIN,398.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
447,Elyria Early Childhood Center,3904394,PK,KG,0.0,1.0,0,LORAIN,319.0,Elyria City School District,Elyria,6964.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-29,2020-09-14,6964.0,6102.0,6964.0,43143.0
448,Euclid High School,3904395,6,12,0.0,4.0,0,CUYAHOGA,2145.0,Euclid City Schools,Euclid,4675.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-29,2020-09-02,4675.0,5046.0,5046.0,98343.0
449,Euclid Central Middle School,3904395,6,8,0.0,2.0,0,CUYAHOGA,745.0,Euclid City Schools,Euclid,4675.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-29,2020-09-02,4675.0,5046.0,5046.0,98343.0
450,Forest Park Middle School,3904395,6,8,0.0,2.0,0,CUYAHOGA,,Euclid City Schools,Euclid,4675.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-29,2020-09-02,4675.0,5046.0,5046.0,98343.0
451,Chardon Hills Elementary School,3904395,KG,5,0.0,1.0,0,CUYAHOGA,509.0,Euclid City Schools,Euclid,4675.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-29,2020-09-02,4675.0,5046.0,5046.0,98343.0
452,Arbor Elementary School,3904395,PK,5,0.0,1.0,0,CUYAHOGA,552.0,Euclid City Schools,Euclid,4675.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-29,2020-09-02,4675.0,5046.0,5046.0,98343.0
453,Shoreview Elementary School,3904395,KG,5,0.0,1.0,0,CUYAHOGA,513.0,Euclid City Schools,Euclid,4675.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-29,2020-09-02,4675.0,5046.0,5046.0,98343.0
454,Bluestone Elementary School,3904395,KG,5,0.0,1.0,0,CUYAHOGA,582.0,Euclid City Schools,Euclid,4675.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-29,2020-09-02,4675.0,5046.0,5046.0,98343.0
455,Baker Middle School,3904396,6,8,0.0,2.0,0,GREENE,1003.0,Fairborn City School District,Fairborn,4917.0,2020-09-08,Other,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Yes,2020-10-19,2020-09-09,4917.0,4149.0,4917.0,23329.0
456,Fairborn High School,3904396,9,12,0.0,3.0,0,GREENE,960.0,Fairborn City School District,Fairborn,4917.0,2020-09-08,Other,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Yes,2020-10-19,2020-09-09,4917.0,4149.0,4917.0,23329.0
457,Fairborn Primary School,3904396,PK,4,0.0,1.0,0,GREENE,1530.0,Fairborn City School District,Fairborn,4917.0,2020-09-08,Other,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Yes,2020-10-19,2020-09-09,4917.0,4149.0,4917.0,23329.0
458,Fairborn Intermediate School,3904396,3,5,0.0,1.0,0,GREENE,656.0,Fairborn City School District,Fairborn,4917.0,2020-09-08,Other,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Yes,2020-10-19,2020-09-09,4917.0,4149.0,4917.0,23329.0
459,Fairview High School,3904397,8,12,0.0,3.0,0,CUYAHOGA,543.0,Fairview Park City School District,Fairview Park,2038.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,2021-01-12,2020-09-09,2038.0,1795.0,2038.0,98343.0
460,Gilles-Sweet Elementary School,3904397,KG,5,0.0,1.0,0,CUYAHOGA,678.0,Fairview Park City School District,Fairview Park,2038.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,2021-01-12,2020-09-09,2038.0,1795.0,2038.0,98343.0
461,Lewis F Mayer Middle School,3904397,5,8,0.0,2.0,0,CUYAHOGA,414.0,Fairview Park City School District,Fairview Park,2038.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,2021-01-12,2020-09-09,2038.0,1795.0,2038.0,98343.0
462,Parkview Early Education Center,3904397,PK,KG,0.0,1.0,0,CUYAHOGA,160.0,Fairview Park City School District,Fairview Park,2038.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,2021-01-12,2020-09-09,2038.0,1795.0,2038.0,98343.0
463,Riley Elementary School,3904399,1,2,0.0,1.0,0,SENECA,265.0,Fostoria City Schools,Fostoria,1850.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1850.0,534.0,1850.0,7535.0
464,Longfellow Elementary School,3904399,PK,KG,0.0,1.0,0,SENECA,269.0,Fostoria City Schools,Fostoria,1850.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1850.0,534.0,1850.0,7535.0
465,Fostoria Junior/Senior High School,3904399,7,12,0.0,3.0,0,WOOD,710.0,Fostoria City Schools,Fostoria,1850.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1850.0,1282.0,1850.0,20781.0
466,Fostoria Intermediate Elementary School,3904399,3,6,0.0,1.0,0,WOOD,572.0,Fostoria City Schools,Fostoria,1850.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1850.0,1282.0,1850.0,20781.0
467,Anthony Wayne Elementary School,3904400,1,6,0.0,1.0,0,WARREN,256.0,Franklin City School District,Franklin,2992.0,2020-09-08,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-25,2020-09-09,2992.0,2868.0,2992.0,39508.0
468,Franklin High School,3904400,8,12,0.0,3.0,0,WARREN,813.0,Franklin City School District,Franklin,2992.0,2020-09-08,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-25,2020-09-09,2992.0,2868.0,2992.0,39508.0
469,Franklin Junior High School,3904400,7,8,0.0,2.0,0,WARREN,461.0,Franklin City School District,Franklin,2992.0,2020-09-08,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-25,2020-09-09,2992.0,2868.0,2992.0,39508.0
470,George H Gerke Elementary School,3904400,1,6,0.0,1.0,0,WARREN,286.0,Franklin City School District,Franklin,2992.0,2020-09-08,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-25,2020-09-09,2992.0,2868.0,2992.0,39508.0
471,Hunter Elementary School,3904400,1,6,0.0,1.0,0,WARREN,298.0,Franklin City School District,Franklin,2992.0,2020-09-08,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-25,2020-09-09,2992.0,2868.0,2992.0,39508.0
472,Pennyroyal Elementary School,3904400,1,6,0.0,1.0,0,WARREN,281.0,Franklin City School District,Franklin,2992.0,2020-09-08,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-25,2020-09-09,2992.0,2868.0,2992.0,39508.0
473,William C Schenck Elementary School,3904400,1,6,0.0,1.0,0,WARREN,233.0,Franklin City School District,Franklin,2992.0,2020-09-08,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-25,2020-09-09,2992.0,2868.0,2992.0,39508.0
474,Hampton Bennett Early Childhood Center,3904400,KG,1,0.0,1.0,0,WARREN,240.0,Franklin City School District,Franklin,2992.0,2020-09-08,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-25,2020-09-09,2992.0,2868.0,2992.0,39508.0
475,Atkinson Elementary School,3904401,PK,5,0.0,1.0,0,SANDUSKY,254.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
476,Croghan Elementary School,3904401,PK,5,0.0,1.0,0,SANDUSKY,278.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
477,Fremont Middle School,3904401,6,8,0.0,2.0,0,SANDUSKY,894.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
478,Fremont Ross High School,3904401,9,12,0.0,3.0,0,SANDUSKY,1111.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
479,Hayes Elementary School,3904401,PK,5,0.0,1.0,0,SANDUSKY,251.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
480,Lutz Elementary School,3904401,PK,5,0.0,1.0,0,SANDUSKY,284.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
481,Otis Elementary School,3904401,PK,5,0.0,1.0,0,SANDUSKY,256.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
482,Stamm Elementary School,3904401,PK,5,0.0,1.0,0,SANDUSKY,349.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
483,Washington Elementary School,3904401,KG,5,0.0,1.0,0,SANDUSKY,97.0,Fremont City School District,Fremont,4118.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4118.0,3774.0,4118.0,9287.0
484,Primary Elementary School,3904402,PK,2,0.0,1.0,0,CRAWFORD,479.0,Galion City School District,Galion,1780.0,2020-08-20,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-11,2020-08-26,1780.0,1736.0,1780.0,6701.0
485,Galion High School,3904402,9,12,0.0,3.0,0,CRAWFORD,396.0,Galion City School District,Galion,1780.0,2020-08-20,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-11,2020-08-26,1780.0,1736.0,1780.0,6701.0
486,Galion Middle School,3904402,6,8,0.0,2.0,0,CRAWFORD,423.0,Galion City School District,Galion,1780.0,2020-08-20,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-11,2020-08-26,1780.0,1736.0,1780.0,6701.0
487,Intermediate Elementary School,3904402,3,5,0.0,1.0,0,CRAWFORD,438.0,Galion City School District,Galion,1780.0,2020-08-20,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-11,2020-08-26,1780.0,1736.0,1780.0,6701.0
488,Gallia Academy High School,3904403,9,12,0.0,3.0,0,GALLIA,529.0,Gallipolis City School District,Gallipolis,2070.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Unknown,Required for all students,Yes,Yes,Unknown,Yes,2021-01-12,2020-09-02,2070.0,2003.0,2070.0,4364.0
489,Green Elementary School,3904403,PK,5,0.0,1.0,0,GALLIA,279.0,Gallipolis City School District,Gallipolis,2070.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Unknown,Required for all students,Yes,Yes,Unknown,Yes,2021-01-12,2020-09-02,2070.0,2003.0,2070.0,4364.0
490,Rio Grande Elementary School,3904403,PK,5,0.0,1.0,0,GALLIA,263.0,Gallipolis City School District,Gallipolis,2070.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Unknown,Required for all students,Yes,Yes,Unknown,Yes,2021-01-12,2020-09-02,2070.0,2003.0,2070.0,4364.0
491,Washington Elementary School,3904403,PK,5,0.0,1.0,0,GALLIA,480.0,Gallipolis City School District,Gallipolis,2070.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Unknown,Required for all students,Yes,Yes,Unknown,Yes,2021-01-12,2020-09-02,2070.0,2003.0,2070.0,4364.0
492,Gallia Academy Middle School,3904403,6,8,0.0,2.0,0,GALLIA,452.0,Gallipolis City School District,Gallipolis,2070.0,2020-08-31,Online Only,Yes,Unknown,Unknown,Yes,Unknown,Required for all students,Yes,Yes,Unknown,Yes,2021-01-12,2020-09-02,2070.0,2003.0,2070.0,4364.0
493,Maple Leaf Elementary School,3904404,KG,5,0.0,1.0,0,CUYAHOGA,520.0,Garfield Heights City School District,Garfield Heights,3650.0,2020-09-09,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-20,2020-09-09,3650.0,3639.0,3650.0,98343.0
494,Elmwood Elementary School,3904404,KG,5,0.0,1.0,0,CUYAHOGA,414.0,Garfield Heights City School District,Garfield Heights,3650.0,2020-09-09,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-20,2020-09-09,3650.0,3639.0,3650.0,98343.0
495,Garfield Heights High School,3904404,9,12,0.0,3.0,0,CUYAHOGA,1247.0,Garfield Heights City School District,Garfield Heights,3650.0,2020-09-09,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-20,2020-09-09,3650.0,3639.0,3650.0,98343.0
496,Garfield Heights Middle School,3904404,6,8,0.0,2.0,0,CUYAHOGA,800.0,Garfield Heights City School District,Garfield Heights,3650.0,2020-09-09,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-20,2020-09-09,3650.0,3639.0,3650.0,98343.0
497,William Foster Elementary School,3904404,PK,5,0.0,1.0,0,CUYAHOGA,658.0,Garfield Heights City School District,Garfield Heights,3650.0,2020-09-09,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-20,2020-09-09,3650.0,3639.0,3650.0,98343.0
498,Unassigned,3904404,KG,5,0.0,1.0,0,CUYAHOGA,,Garfield Heights City School District,Garfield Heights,3650.0,2020-09-09,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-20,2020-09-09,3650.0,3639.0,3650.0,98343.0
499,Austinburg Elementary School,3904405,PK,5,0.0,1.0,0,ASHTABULA,266.0,Geneva Area City Schools,Geneva,2495.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,2021-01-22,2020-09-02,2495.0,2410.0,2495.0,12031.0
500,Cork Elementary School,3904405,KG,5,0.0,1.0,0,ASHTABULA,291.0,Geneva Area City Schools,Geneva,2495.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,2021-01-22,2020-09-02,2495.0,2410.0,2495.0,12031.0
501,Geneva High School,3904405,9,12,0.0,3.0,0,ASHTABULA,776.0,Geneva Area City Schools,Geneva,2495.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,2021-01-22,2020-09-02,2495.0,2410.0,2495.0,12031.0
502,Geneva Middle School,3904405,6,8,0.0,2.0,0,ASHTABULA,572.0,Geneva Area City Schools,Geneva,2495.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,2021-01-22,2020-09-02,2495.0,2410.0,2495.0,12031.0
503,Geneva Platt R. Spencer Elementary School,3904405,KG,5,0.0,1.0,0,ASHTABULA,505.0,Geneva Area City Schools,Geneva,2495.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,2021-01-22,2020-09-02,2495.0,2410.0,2495.0,12031.0
504,Girard Sr High School,3904406,9,12,0.0,3.0,0,TRUMBULL,556.0,Girard City School District,Girard,1780.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1780.0,1684.0,1780.0,28142.0
505,Prospect Elementary School,3904406,PK,3,0.0,1.0,0,TRUMBULL,483.0,Girard City School District,Girard,1780.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1780.0,1684.0,1780.0,28142.0
506,Girard Intermediate Middle School,3904406,4,6,0.0,2.0,0,TRUMBULL,378.0,Girard City School District,Girard,1780.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1780.0,1684.0,1780.0,28142.0
507,Girard Junior High School,3904406,7,8,0.0,2.0,0,TRUMBULL,267.0,Girard City School District,Girard,1780.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,1780.0,1684.0,1780.0,28142.0
508,Grandview Heights High School,3904407,9,12,0.0,3.0,0,FRANKLIN,343.0,Grandview Heights City School District,Columbus,1172.0,2020-08-17,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-18,1172.0,1099.0,1172.0,177683.0
509,Larson Middle School,3904407,6,8,0.0,2.0,0,FRANKLIN,233.0,Grandview Heights City School District,Columbus,1172.0,2020-08-17,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-18,1172.0,1099.0,1172.0,177683.0
510,Stevenson Elementary,3904407,PK,3,0.0,1.0,0,FRANKLIN,360.0,Grandview Heights City School District,Columbus,1172.0,2020-08-17,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-18,1172.0,1099.0,1172.0,177683.0
511,Edison Intermediate,3904407,4,5,0.0,2.0,0,FRANKLIN,163.0,Grandview Heights City School District,Columbus,1172.0,2020-08-17,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-18,1172.0,1099.0,1172.0,177683.0
512,Winton Woods Intermediate School,3904408,5,6,0.0,2.0,0,HAMILTON,566.0,Winton Woods City School District,Cincinnati,3901.0,2020-08-24,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2020-10-09,2020-08-26,3901.0,3637.0,3901.0,92949.0
